Region,Region name,Year,Symbol,Value,Label,Unit
AT,Austria,1961,Q,52.3,Total quantity of synthetic N fertilizer applied,Gg N
AT,Austria,1961,Q_C,46.99526509549301,Quantity applied on cropland,Gg N
AT,Austria,1961,Q_PG,5.304734904506987,Quantity applied on permanent grassland,Gg N
AT,Austria,1961,R_C,26.883657356293806,Average rate on cropland,kg N/ha
AT,Austria,1961,R_PG,2.9447845589580255,Average rate on permanent grassland,kg N/ha
AT,Austria,1962,Q,63.9,Total quantity of synthetic N fertilizer applied,Gg N
AT,Austria,1962,Q_C,57.34392296068665,Quantity applied on cropland,Gg N
AT,Austria,1962,Q_PG,6.556077039313349,Quantity applied on permanent grassland,Gg N
AT,Austria,1962,R_C,33.530548060797955,Average rate on cropland,kg N/ha
AT,Austria,1962,R_PG,3.6728722909318483,Average rate on permanent grassland,kg N/ha
AT,Austria,1963,Q,67.7,Total quantity of synthetic N fertilizer applied,Gg N
AT,Austria,1963,Q_C,60.82233509386946,Quantity applied on cropland,Gg N
AT,Austria,1963,Q_PG,6.877664906130538,Quantity applied on permanent grassland,Gg N
AT,Austria,1963,R_C,35.497445984047964,Average rate on cropland,kg N/ha
AT,Austria,1963,R_PG,3.888322538517943,Average rate on permanent grassland,kg N/ha
AT,Austria,1964,Q,73.0,Total quantity of synthetic N fertilizer applied,Gg N
AT,Austria,1964,Q_C,65.63519084390563,Quantity applied on cropland,Gg N
AT,Austria,1964,Q_PG,7.364809156094361,Quantity applied on permanent grassland,Gg N
AT,Austria,1964,R_C,38.36527319562014,Average rate on cropland,kg N/ha
AT,Austria,1964,R_PG,4.2024588622507055,Average rate on permanent grassland,kg N/ha
AT,Austria,1965,Q,90.3,Total quantity of synthetic N fertilizer applied,Gg N
AT,Austria,1965,Q_C,80.81280731565717,Quantity applied on cropland,Gg N
AT,Austria,1965,Q_PG,9.487192684342824,Quantity applied on permanent grassland,Gg N
AT,Austria,1965,R_C,49.885323575400335,Average rate on cropland,kg N/ha
AT,Austria,1965,R_PG,5.464343211809022,Average rate on permanent grassland,kg N/ha
AT,Austria,1966,Q,90.3,Total quantity of synthetic N fertilizer applied,Gg N
AT,Austria,1966,Q_C,81.17822498876147,Quantity applied on cropland,Gg N
AT,Austria,1966,Q_PG,9.121775011238531,Quantity applied on permanent grassland,Gg N
AT,Austria,1966,R_C,48.41564628994144,Average rate on cropland,kg N/ha
