Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,NaN,NaN,NaN,NaN,1999999.8312,NaN,NaN,NaN,NaN,26999999.8671,NaN,NaN,NaN,NaN,35999999.9828,NaN,NaN,NaN,NaN,67700000.2703,NaN,NaN,NaN,NaN,75000000.3078,NaN,NaN,NaN,NaN,73499999.8525,NaN,NaN,NaN,NaN,9999999.7902,NaN,NaN,NaN,NaN,6499999.9953,NaN,NaN,NaN,NaN,5500000.2024,NaN,NaN,NaN,NaN,11300000.0516,NaN,NaN,NaN,NaN,NaN
Algeria,NaN,NaN,NaN,NaN,13299999.5338,NaN,NaN,NaN,NaN,43200000.3892,NaN,NaN,NaN,NaN,62800001.9535,NaN,NaN,NaN,NaN,84000002.0028,NaN,NaN,NaN,NaN,98200000.717,NaN,NaN,NaN,NaN,62999999.7456,NaN,NaN,NaN,NaN,18399998.4857,NaN,NaN,NaN,NaN,44300000.674,NaN,NaN,NaN,NaN,39499999.9894,NaN,NaN,NaN,NaN,60100000.4176,NaN,NaN,NaN,NaN,NaN
Angola,NaN,NaN,NaN,NaN,1800000.405,NaN,NaN,NaN,NaN,4000000.935,NaN,NaN,NaN,NaN,4199999.6631,NaN,NaN,NaN,NaN,5700000.256,NaN,NaN,NaN,NaN,6399999.948,NaN,NaN,NaN,NaN,5900000.3581,NaN,NaN,NaN,NaN,6900000.81,NaN,NaN,NaN,NaN,8499999.7384,NaN,NaN,NaN,NaN,13999998.98,NaN,NaN,NaN,NaN,20699999.496,NaN,NaN,NaN,NaN,NaN
Australia,NaN,NaN,NaN,NaN,69600005.41,NaN,NaN,NaN,NaN,121700001.1052,NaN,NaN,NaN,NaN,163199997.8916,NaN,NaN,NaN,NaN,240299998.8151,NaN,NaN,NaN,NaN,326699978.2284,NaN,NaN,NaN,NaN,419599979.4169,NaN,NaN,NaN,NaN,632400000.7044,NaN,NaN,NaN,NaN,884399994.128,NaN,NaN,NaN,NaN,874199978.2208,NaN,NaN,NaN,NaN,898500015.0195,NaN,NaN,NaN,NaN,NaN
Austria,NaN,NaN,NaN,NaN,88700000.7966,NaN,NaN,NaN,NaN,120200001.0726,NaN,NaN,NaN,NaN,113799999.081,NaN,NaN,NaN,NaN,146100000.4122,NaN,NaN,NaN,NaN,147299999.2382,NaN,NaN,NaN,NaN,118899999.7236,NaN,NaN,NaN,NaN,112299999.3498,NaN,NaN,NaN,NaN,108399999.501,NaN,NaN,NaN,NaN,94799999.762,NaN,NaN,NaN,NaN,98300000.6615,NaN,NaN,NaN,NaN,NaN
Bangladesh,NaN,NaN,NaN,NaN,42900001.2603,NaN,NaN,NaN,NaN,99199995.1568,NaN,NaN,NaN,NaN,146700003.4416,NaN,NaN,NaN,NaN,266199999.156,NaN,NaN,NaN,NaN,367799996.8116,NaN,NaN,NaN,NaN,609200006.5456,NaN,NaN,NaN,NaN,943000001.7524,NaN,NaN,NaN,NaN,993799999.3536,NaN,NaN,NaN,NaN,1152000002.5452,NaN,NaN,NaN,NaN,1225000005.7204,NaN,NaN,NaN,NaN,NaN
Benin,NaN,NaN,NaN,NaN,700000.2102,NaN,NaN,NaN,NaN,1600000.1604,NaN,NaN,NaN,NaN,1699999.6624,NaN,NaN,NaN,NaN,2199999.55,NaN,NaN,NaN,NaN,2499999.89,NaN,NaN,NaN,NaN,2299999.6673,NaN,NaN,NaN,NaN,2699999.5734,NaN,NaN,NaN,NaN,3399998.8664,NaN,NaN,NaN,NaN,5500001.1208,NaN,NaN,NaN,NaN,8200000.125,NaN,NaN,NaN,NaN,NaN
Bhutan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,300000.0737,NaN,NaN,NaN,NaN,200000.017,NaN,NaN,NaN,NaN,200000.0464,NaN,NaN,NaN,NaN,99999.999,NaN,NaN,NaN,NaN,600000.0417,NaN,NaN,NaN,NaN,700000.0044,NaN,NaN,NaN,NaN,NaN
Bolivia (Plurinational State of),NaN,NaN,NaN,NaN,9999999.7577,NaN,NaN,NaN,NaN,13899999.8144,NaN,NaN,NaN,NaN,12500000.0961,NaN,NaN,NaN,NaN,13799999.8566,NaN,NaN,NaN,NaN,16399999.3119,NaN,NaN,NaN,NaN,21099999.9704,NaN,NaN,NaN,NaN,25799999.849,NaN,NaN,NaN,NaN,48800001.0917,NaN,NaN,NaN,NaN,73800000.6135,NaN,NaN,NaN,NaN,61399999.9704,NaN,NaN,NaN,NaN,NaN
Botswana,NaN,NaN,NaN,NaN,200000.0259,NaN,NaN,NaN,NaN,299999.9754,NaN,NaN,NaN,NaN,399999.9012,NaN,NaN,NaN,NaN,499999.9736,NaN,NaN,NaN,NaN,499999.9462,NaN,NaN,NaN,NaN,499999.961,NaN,NaN,NaN,NaN,599999.9511,NaN,NaN,NaN,NaN,700000.071,NaN,NaN,NaN,NaN,1200000.0644,NaN,NaN,NaN,NaN,1799999.9388,NaN,NaN,NaN,NaN,NaN
Brazil,NaN,NaN,NaN,NaN,70599991.4427,NaN,NaN,NaN,NaN,276400008.4992,NaN,NaN,NaN,NaN,406300002.9669,NaN,NaN,NaN,NaN,886000009.104,NaN,NaN,NaN,NaN,834100010.2188,NaN,NaN,NaN,NaN,796599980.432,NaN,NaN,NaN,NaN,1150499974.4782,NaN,NaN,NaN,NaN,1959699991.431,NaN,NaN,NaN,NaN,2154800016.2509,NaN,NaN,NaN,NaN,2638000027.2876,NaN,NaN,NaN,NaN,NaN
Bulgaria,NaN,NaN,NaN,NaN,219100001.849,NaN,NaN,NaN,NaN,378800001.916,NaN,NaN,NaN,NaN,425200000.3896,NaN,NaN,NaN,NaN,489000001.956,NaN,NaN,NaN,NaN,499000000.588,NaN,NaN,NaN,NaN,452900001.312,NaN,NaN,NaN,NaN,111599998.722,NaN,NaN,NaN,NaN,143999998.6495,NaN,NaN,NaN,NaN,136700000.6658,NaN,NaN,NaN,NaN,186999999.7348,NaN,NaN,NaN,NaN,NaN
Burkina Faso,NaN,NaN,NaN,NaN,1199999.181,NaN,NaN,NaN,NaN,2600000.7726,NaN,NaN,NaN,NaN,2800000.644,NaN,NaN,NaN,NaN,3799999.8012,NaN,NaN,NaN,NaN,4299999.6587,NaN,NaN,NaN,NaN,3900000.0855,NaN,NaN,NaN,NaN,4600001.2896,NaN,NaN,NaN,NaN,5700001.1552,NaN,NaN,NaN,NaN,9400000.7808,NaN,NaN,NaN,NaN,13799998.7584,NaN,NaN,NaN,NaN,NaN
