Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,NaN,NaN,NaN,NaN,1729524.0996,NaN,NaN,NaN,NaN,22941834.9654,NaN,NaN,NaN,NaN,32976020.2369,NaN,NaN,NaN,NaN,62621175.905,NaN,NaN,NaN,NaN,58257759.1539,NaN,NaN,NaN,NaN,56878110.436,NaN,NaN,NaN,NaN,6571727.1005,NaN,NaN,NaN,NaN,4279125.6188,NaN,NaN,NaN,NaN,2434612.3368,NaN,NaN,NaN,NaN,5925318.5752,NaN,NaN,NaN,NaN,NaN
Algeria,NaN,NaN,NaN,NaN,13299999.5338,NaN,NaN,NaN,NaN,43346125.0628,NaN,NaN,NaN,NaN,63164656.0965,NaN,NaN,NaN,NaN,84937092.9189,NaN,NaN,NaN,NaN,77073127.3818,NaN,NaN,NaN,NaN,59611172.6756,NaN,NaN,NaN,NaN,16346840.589,NaN,NaN,NaN,NaN,38086658.12,NaN,NaN,NaN,NaN,36514115.2512,NaN,NaN,NaN,NaN,59143611.4415,NaN,NaN,NaN,NaN,NaN
Angola,NaN,NaN,NaN,NaN,1800000.405,NaN,NaN,NaN,NaN,4000000.935,NaN,NaN,NaN,NaN,4199999.6631,NaN,NaN,NaN,NaN,5700000.256,NaN,NaN,NaN,NaN,6399999.948,NaN,NaN,NaN,NaN,5900000.3581,NaN,NaN,NaN,NaN,6900000.81,NaN,NaN,NaN,NaN,8499999.7384,NaN,NaN,NaN,NaN,13999998.98,NaN,NaN,NaN,NaN,20699999.496,NaN,NaN,NaN,NaN,NaN
Australia,NaN,NaN,NaN,NaN,67119995.25,NaN,NaN,NaN,NaN,119178267.3638,NaN,NaN,NaN,NaN,161430841.5744,NaN,NaN,NaN,NaN,237976953.147,NaN,NaN,NaN,NaN,96815397.816,NaN,NaN,NaN,NaN,120609023.4024,NaN,NaN,NaN,NaN,302259540.0552,NaN,NaN,NaN,NaN,435977055.578,NaN,NaN,NaN,NaN,440161035.1788,NaN,NaN,NaN,NaN,418064060.141,NaN,NaN,NaN,NaN,NaN
Austria,NaN,NaN,NaN,NaN,60126308.9938,NaN,NaN,NaN,NaN,87180829.9127,NaN,NaN,NaN,NaN,82313440.8428,NaN,NaN,NaN,NaN,108851841.6432,NaN,NaN,NaN,NaN,110436978.1256,NaN,NaN,NaN,NaN,97217779.4724,NaN,NaN,NaN,NaN,90947773.7266,NaN,NaN,NaN,NaN,92336922.8064,NaN,NaN,NaN,NaN,80859361.8406,NaN,NaN,NaN,NaN,84994801.2343,NaN,NaN,NaN,NaN,NaN
Bangladesh,NaN,NaN,NaN,NaN,42780181.4851,NaN,NaN,NaN,NaN,98983678.72,NaN,NaN,NaN,NaN,146485169.22,NaN,NaN,NaN,NaN,266163150.264,NaN,NaN,NaN,NaN,367737318.2178,NaN,NaN,NaN,NaN,609206873.6848,NaN,NaN,NaN,NaN,942974018.4794,NaN,NaN,NaN,NaN,993857633.7039,NaN,NaN,NaN,NaN,1152228594.3504,NaN,NaN,NaN,NaN,1224674598.7804,NaN,NaN,NaN,NaN,NaN
Benin,NaN,NaN,NaN,NaN,700000.2102,NaN,NaN,NaN,NaN,1600000.1604,NaN,NaN,NaN,NaN,1699999.6624,NaN,NaN,NaN,NaN,2199999.55,NaN,NaN,NaN,NaN,2499999.89,NaN,NaN,NaN,NaN,2299999.6673,NaN,NaN,NaN,NaN,2699999.5734,NaN,NaN,NaN,NaN,3399998.8664,NaN,NaN,NaN,NaN,5500001.1208,NaN,NaN,NaN,NaN,8200000.125,NaN,NaN,NaN,NaN,NaN
Bhutan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,300000.0737,NaN,NaN,NaN,NaN,200000.017,NaN,NaN,NaN,NaN,200000.0464,NaN,NaN,NaN,NaN,99999.999,NaN,NaN,NaN,NaN,600000.0417,NaN,NaN,NaN,NaN,700000.0044,NaN,NaN,NaN,NaN,NaN
Bolivia (Plurinational State of),NaN,NaN,NaN,NaN,9571560.705,NaN,NaN,NaN,NaN,12932143.5623,NaN,NaN,NaN,NaN,11675994.6451,NaN,NaN,NaN,NaN,12904971.8159,NaN,NaN,NaN,NaN,15850432.56,NaN,NaN,NaN,NaN,20793034.7912,NaN,NaN,NaN,NaN,25561621.872,NaN,NaN,NaN,NaN,48171091.5315,NaN,NaN,NaN,NaN,73101552.6488,NaN,NaN,NaN,NaN,60894958.0395,NaN,NaN,NaN,NaN,NaN
Botswana,NaN,NaN,NaN,NaN,200000.0259,NaN,NaN,NaN,NaN,299999.9754,NaN,NaN,NaN,NaN,399999.9012,NaN,NaN,NaN,NaN,499999.9736,NaN,NaN,NaN,NaN,499999.9462,NaN,NaN,NaN,NaN,499999.961,NaN,NaN,NaN,NaN,599999.9511,NaN,NaN,NaN,NaN,700000.071,NaN,NaN,NaN,NaN,1200000.0644,NaN,NaN,NaN,NaN,1799999.9388,NaN,NaN,NaN,NaN,NaN
Brazil,NaN,NaN,NaN,NaN,70599991.4427,NaN,NaN,NaN,NaN,276400008.4992,NaN,NaN,NaN,NaN,406300002.9669,NaN,NaN,NaN,NaN,886000009.104,NaN,NaN,NaN,NaN,834100010.2188,NaN,NaN,NaN,NaN,796599980.432,NaN,NaN,NaN,NaN,1150499974.4782,NaN,NaN,NaN,NaN,1959699991.431,NaN,NaN,NaN,NaN,2154800016.2509,NaN,NaN,NaN,NaN,2638000027.2876,NaN,NaN,NaN,NaN,NaN
Bulgaria,NaN,NaN,NaN,NaN,205430923.764,NaN,NaN,NaN,NaN,347337398.3668,NaN,NaN,NaN,NaN,387345769.5402,NaN,NaN,NaN,NaN,446405555.0916,NaN,NaN,NaN,NaN,443162965.752,NaN,NaN,NaN,NaN,424957021.1224,NaN,NaN,NaN,NaN,109351561.4807,NaN,NaN,NaN,NaN,136764223.1406,NaN,NaN,NaN,NaN,131185864.307,NaN,NaN,NaN,NaN,179859823.8637,NaN,NaN,NaN,NaN,NaN
Burkina Faso,NaN,NaN,NaN,NaN,1199999.181,NaN,NaN,NaN,NaN,2600000.7726,NaN,NaN,NaN,NaN,2800000.644,NaN,NaN,NaN,NaN,3799999.8012,NaN,NaN,NaN,NaN,4299999.6587,NaN,NaN,NaN,NaN,3900000.0855,NaN,NaN,NaN,NaN,4600001.2896,NaN,NaN,NaN,NaN,5700001.1552,NaN,NaN,NaN,NaN,9400000.7808,NaN,NaN,NaN,NaN,13799998.7584,NaN,NaN,NaN,NaN,NaN
Burundi,NaN,NaN,NaN,NaN,700000.2666,NaN,NaN,NaN,NaN,1500000.1022,NaN,NaN,NaN,NaN,1599999.6774,NaN,NaN,NaN,NaN,2100000.1739,NaN,NaN,NaN,NaN,2400000.458,NaN,NaN,NaN,NaN,2199999.7458,NaN,NaN,NaN,NaN,2599999.753,NaN,NaN,NaN,NaN,3200000.2734,NaN,NaN,NaN,NaN,5300000.1912,NaN,NaN,NaN,NaN,7800000.0506,NaN,NaN,NaN,NaN,NaN
Cameroon,NaN,NaN,NaN,NaN,3000000.372,NaN,NaN,NaN,NaN,11500001.2566,NaN,NaN,NaN,NaN,6100000.3264,NaN,NaN,NaN,NaN,18400001.6388,NaN,NaN,NaN,NaN,26900001.2359,NaN,NaN,NaN,NaN,8999999.7464,NaN,NaN,NaN,NaN,15000000.9054,NaN,NaN,NaN,NaN,21899998.2796,NaN,NaN,NaN,NaN,19399999.632,NaN,NaN,NaN,NaN,18999997.464,NaN,NaN,NaN,NaN,NaN
Canada,NaN,NaN,NaN,NaN,203246652.9786,NaN,NaN,NaN,NaN,294356872.9393,NaN,NaN,NaN,NaN,502572868.8596,NaN,NaN,NaN,NaN,872448703.347,NaN,NaN,NaN,NaN,1006460825.247,NaN,NaN,NaN,NaN,856322771.7177,NaN,NaN,NaN,NaN,1199688541.5372,NaN,NaN,NaN,NaN,1229765733.9716,NaN,NaN,NaN,NaN,1160909392.0284,NaN,NaN,NaN,NaN,1471685515.165,NaN,NaN,NaN,NaN,NaN
Central African Republic,NaN,NaN,NaN,NaN,300000.035,NaN,NaN,NaN,NaN,799999.8498,NaN,NaN,NaN,NaN,800000.1005,NaN,NaN,NaN,NaN,1100000.4292,NaN,NaN,NaN,NaN,1199999.7916,NaN,NaN,NaN,NaN,1100000.01,NaN,NaN,NaN,NaN,1299999.8267,NaN,NaN,NaN,NaN,1599999.9266,NaN,NaN,NaN,NaN,2700000.4265,NaN,NaN,NaN,NaN,3899999.5975,NaN,NaN,NaN,NaN,NaN
Chad,NaN,NaN,NaN,NaN,899999.3156,NaN,NaN,NaN,NaN,1999999.8768,NaN,NaN,NaN,NaN,2099999.8184,NaN,NaN,NaN,NaN,2900000.448,NaN,NaN,NaN,NaN,3199999.4346,NaN,NaN,NaN,NaN,3000000.5255,NaN,NaN,NaN,NaN,3499999.5885,NaN,NaN,NaN,NaN,4299999.4208,NaN,NaN,NaN,NaN,7099999.3168,NaN,NaN,NaN,NaN,10500001.3384,NaN,NaN,NaN,NaN,NaN
