Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,3187921,1997792,1998116,1998808,2001105,3001500,6997678,18999949,16000864,22499244,31004170,32601210,36097988,36300256,36000862,45302678,49997052,71901700,70902796,68804008,72501412,70797454,73002484,74998483,75004288,75003137,66098872,69303130,79903068,73500980,22297880,14800233,15219312,12680198,10000708,5502159,4199830,18000756,5800701,12100440,10697785,22624456,37986616,37159689,35788825,36865200,30016599,30974184,28151692,33496770,33742748,36706733,34768315,NaN,NaN
Algeria,9016070,15013296,18000708,15997800,13357024,17154162,14525016,20009834,29009260,42984864,67992064,81009650,75992064,65994257,40009084,50980644,52129110,57623448,60277462,83998656,57684834,48736844,59286533,87705448,98165157,112670790,79991148,52593000,46313442,63005022,41001840,46678860,73810280,58200758,18417028,13981200,36003152,44020701,46986030,44291684,45308375,48001296,28048800,17058184,104717908,4083876,43833300,36618934,23124960,47790600,70918159,63274036,74992446,NaN,NaN
Angola,503568,496468,496536,996064,2796956,3594426,4997850,4992516,4997653,5500725,11195008,11205456,9101445,6496722,2104457,999174,13094375,9998016,9396159,9199080,4594920,2799800,3794344,3718981,12789450,4997890,3995654,5221144,9172914,2499585,2306532,3103009,2001582,1995864,2000768,2003508,1995825,2303961,2302902,1404792,NaN,NaN,2751736,1777104,7184225,3680427,6625143,5583788,8177085,10462839,17393388,21469212,24695132,NaN,NaN
Australia,35001604,43789056,70181342,63954783,69997620,85417101,129966718,140343860,125392414,123433761,124224688,166598386,172316621,177550616,165674664,211102735,222104376,210550622,241873291,238268538,245086756,258014534,305084188,344043560,340055814,332459829,363160350,392603652,440298590,439410668,462240642,488261388,565320300,583261140,671363502,824679166,839401094,978919425,1081952040,951027280,1049974458,972395696,980027004,933019160,1056130740,952268316,857913930,848828406,834968865,849723330,981710169,1099013884,1099026282,NaN,NaN
Austria,52302320,64231814,68249777,73386345,91293400,89581440,98786040,112909797,120735992,125827026,139387068,135982396,132094829,125544050,121445961,143266984,134524656,154001892,158001568,159700016,161547264,149662240,154121293,161100072,165076220,136791975,131507376,141810578,125102346,135689673,132003900,124009920,120001332,120999000,124994220,133004448,127996981,127996675,122003448,118001288,119993764,118007999,170964720,298856575,96085425,101752956,97222965,82636048,84111750,79668440,86149404,86171424,85999452,NaN,NaN
Bangladesh,19952065,23959320,35962593,34038160,42899958,56343232,70956832,76077576,90376581,97642250,78059631,129316091,126930336,82758816,146650784,167713365,225211781,227783744,260185666,267962806,251599635,304864560,344942035,384660646,367820704,422908409,474614290,528665253,629760628,609095220,705655664,713301091,733628960,803542996,942971040,996090304,876591834,882486882,1014723248,995923273,1054229630,1049945000,1079003961,951293024,953989828,993287520,1098936136,1048548735,1286950764,1156194072,1166803404,1284435000,1131039960,NaN,NaN
Benin,19508,20336,68719,130788,102971,98846,685230,1233152,1600830,2002161,2203642,2060790,1301994,1343496,788358,1003300,700520,1601320,895776,379209,523952,1103850,3004992,3563200,3801781,4313184,3433560,2125440,1106360,5119561,5010942,6203844,7859900,7745536,13996027,14443800,18761237,15329504,34603720,14292262,15108135,25548376,23554088,1312740,145188,422583,NaN,574476,356148,5785409,12089112,5086152,28880016,NaN,NaN
Bhutan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74560,99708,99630,100116,99935,100408,100196,99432,100678,120771,117800,99726,99792,99710,99766,100513,100359,99549,99549,100254,100048,99755,100028,99792,NaN,NaN,NaN,NaN,NaN,782864,786570,817400,886917,767502,800457,773682,1608250,686070,844560,776125,NaN,NaN
Bolivia (Plurinational State of),353000,399850,451588,496944,497772,496405,2000172,1000266,1230216,587700,2801074,3665320,2765763,3800517,1600074,1299870,1903835,1524568,1615922,1448237,2717902,1295077,3129714,2530710,2699190,2799945,4711179,3053225,4648272,2319840,3550764,5500980,2548420,4310112,2818788,4034134,4873792,1324444,896834,3208936,5369187,6187728,6034119,6191322,6269872,12187380,8708856,11886480,13474458,13813228,17962098,19028880,18522770,NaN,NaN
Botswana,1000008,999924,1000384,1499582,1998203,2001072,2500542,999867,1000910,1100061,1049355,1149528,1200692,1161414,1500247,1000286,1001238,999672,499600,599192,599434,599726,500346,400389,138477,215233,300846,300420,299060,299956,300480,299956,400286,499831,2132940,3191076,3500352,3747523,4100832,4100542,4100600,4099499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13631022,19941165,8425320,15091448,NaN,NaN
