Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,3186999.999804,2000000.000147,1999999.9998,1999999.999968,2000000.00025,3000000.00024,7000000.00136,18999999.9981,15999999.99975,22499999.99966,30999999.9993,32599999.99776,36100000.00044,36300000.00276,35999999.9983,45299999.9991,49999999.99992,71899999.9965,70900000.0171,68800000.00302,72499999.9786,70800000.00252,72999999.994,74999999.9904,74999999.9904,74999999.9904,66099999.99834,69300000.00042,79899999.9686,73500000.0064,22300000.00064,14800000.00074,15219999.99936,12679999.99812,10000000.0035,5500000.00017,4200000,17999999.99904,5799999.999846,12099999.99951,10699999.99974,38216979.99987,37378309.99989,36119719.99983,37210640.00172,30333879.9987,31483819.99838,28744799.99685,33940180.00224,31292440.0008,36892699.99752,34944129.99768,30711910.002873,30711759.9972,36803920.001251
Algeria,9000000.003422,14999999.9967,17999999.99886,15999999.99702,13346999.999616,17149999.9968,14529999.998616,19999999.999386,28999999.998431,43000000.0016,68000000.003325,80999999.99078,76000000.01015,66000000.001002,40000000.001195,50999999.998242,52138000.000098,57616000.001694,60269000.0031,84000000.00999,57699999.99714,48737999.996394,59299999.999562,87723999.9872,98172999.96987,112679999.99667,79999999.97432,52600000.003356,46300000.002138,62999999.996895,41000000.001432,46699999.99977,73799999.997696,58199999.999034,18399999.997806,13999999.99728,36000000.00337,43999999.997692,47000000.004096,44300000.002048,45299999.996028,28035999.997764,17076000.0001886,104717000.0032,4086000.0002027,43846999.995904,36626000.00238,23101999.998,37100000.000677,60099999.999897,56299999.996485,72600000.002257,63999999.9977728,76499999.9981448,74399999.9968896
Angola,499999.999922,500000,499999.999982,1000000.000025,2799999.999837,3600000.0003,5000000.00166,4999999.99968,4999999.999,5500000.0006,11199999.9998,11199999.9998,9099999.9992,6500000.0004,2099999.99992,1000000.00014,13099999.9984,10000000.0014,9399999.9988,9200000.0002,4599999.9984,2800000.00012,3800000.0006,3715000.0006,12793999.9984,4999999.999,3999999.9992,5220999.999,9175999.9986,2499999.99984,2300000.000115,3099999.99995,1999999.9999,1999999.9999,1999999.9999,1999999.9999,1999999.9999,2299999.99985,2299999.99988,1399999.99986,NaN,2757000.000057,1786999.999843,7187000.00099,3682000.00019,6640999.99916,5584000.00077,8171999.99874,10467999.9996,17368999.99853,16380999.99969,19423090.00194,20439570.00204,27612520.00233,25494279.99882
Australia,35016999.9971751,43800000.0055471,70200000.0037876,64000000.0045947,69999999.9917857,85411999.9999111,129996999.991759,140386000.006727,125412999.994205,123381000.003636,124239000.002293,166555999.994532,172259000.04204,177593999.97632,165654000.00919,211168000.04058,222153999.9473,210548999.976,241836999.99106,238345999.98206,245021000.07924,258000000.08068,305000000.07581,343999999.90747,340000000.02336,332500000.01841,363100000.0687,392599999.913,440300000.06544,439400000.06955,462300000.06384,488199999.93156,565399999.98804,583200000.01178,671300000.0664,824600000.0641,839400000.0302,979000000.06305,1079999999.95168,951000000.10911,1049900000.0684,980100000.051,932899999.9145,1056200000.0608,952299999.89322,857999999.9168,848799999.9401,835000000.11554,849800000.0864,981799999.93296,1098899999.93428,1124600000.08434,1222099999.94913,1253496940.05261,1171515680.1555
Austria,52299999.99444,64239000.00012,68253999.99909,73379999.9924,91292000.00256,89581000.00392,98787000.0074,112915000.00528,120736999.992,125822000.00235,139378999.9927,135983000.0053,132102999.99832,125553000.00516,121444000.00549,143269000.00026,134519000.00697,154000000.0056,157999999.99618,159700000.0023,161543999.99232,149673000.00514,154125999.9804,161100000.018,165082999.9375,136800000.00664,131499999.99665,141800000.00568,125099999.99511,135700000.0048,132000000.00252,124000000.0044,120000000.00184,120999999.99968,125000000.00312,132999999.99624,127999999.99599,128000000.00196,121999999.99428,117999999.9948,120000000.0015,170973999.9968,298844000.018081,96090999.999187,101756000.002473,97220000.005392,82631999.99812,84109999.999702,79667000.004746,86153000.005733,86173000.002283,105999999.997668,108557999.994159,115714999.999688,120426000.002766
Bangladesh,19999999.99776,24000000.004299,35999999.99952,34000000.00156,42899999.999311,56299999.99875,70900000.003755,76099999.999443,90400000.001025,97699999.99001,78100000.000955,129290999.97549,126952999.95792,82810999.99857,146618000.0404,167750000.03908,225191000.01831,227785000.01166,260214999.96833,267907999.98564,251627999.98158,304879000.00788,344928000.02468,384650999.9904,367784999.96491,422955999.96966,474613999.9634,528608000.04489,629795000.01594,609162999.9546,705599999.9748,713300000.01714,733562000.01274,803539999.98756,942999999.877,996069999.9852,876599999.885,882500000.0306,1014699999.732,995852000,1054245000.023,1079063999.9984,951339999.8728,954038999.7281,993327000.1267,1098891999.744,1048506999.8774,1290000000.0055,1156139000.181,1166809999.825,1274819999.5856,1129780000.128,1111740000.1116,1230259999.8996,1320939999.83088
Benin,22000,23000.0000022,71999.9999992,132000.000014,99999.9999972,99999.9999999,688000.00004,1229000.00032,1597000.000145,1999999.999405,2200000.000125,2058000.00042,1299999.999938,1340999.999983,791000.0000235,999999.999999,699999.999969,1600000.000195,899999.999925,381999.9999645,527000.0000425,1099999.999972,2999999.9997,3565999.99986,3800000.00016,4308999.99998,3431999.9993,2120999.99967,1099999.999964,5116000.0006,5009999.99961,6196999.99951,7866999.99936,7740999.9994,14000000.00045,14453000.00064,18764000.00046,15338000,34600000,14299999.999545,15100000.000065,23558000.000685,1317999.9999837,144999.99999741,412999.9998552,11000.0000007,575999.99996,357000,5793999.9998,12079000.0003,4130000.0015,8936760,5029220.0002,14764210.0004,184860.000016
Bhutan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74000.0000022,99999.9999966,100000.0000001,100000.0000001,100000.0000001,99999.9999982,100000.0000036,100000.0000036,99999.9999936,120999.9999929,117999.9999964,100000.0000064,100000.0000064,100000.0000065,100000,99999.9999936,100000.0000076,100000.0000076,100000.0000076,99999.9999965,99999.9999984,100000.0000065,99999.999997,99999.9999936,NaN,NaN,NaN,NaN,782999.99999,787000.00002,818000.000079,886999.999944,768000.00003,799999.999968,773999.9999649,1608000.0005,685999.99998,844999.9999622,776159.9999824,758200.000016,888719.9999584,920350.0000196
Bolivia (Plurinational State of),349999.9999972,399999.9999968,449999.9999964,499999.9999496,499999.9999995,500000.0000028,2000000.000272,1000000.0000032,1228999.9999574,588999.9999966,2799999.999168,3666999.99924,2769000.000592,3799999.99981,1600000.000024,1300000.000046,1900000.0000296,1523000.0000592,1613999.999925,1447999.9999156,2716999.999783,1299999.9999792,3126000.000081,2532999.999669,2699999.999487,2800000.000097,4705999.999851,3057999.99975,4645000.00089,2326000.00094,3550999.998952,5503000.000491,2554999.999888,4313999.999756,2809999.99896,4029000.001011,4872000.000542,1332000.0000101,901000.0001158,3218000.00004,5368999.99965,6040000.00032,6198000.000115,6259999.999808,12192000.001785,8709000.000752,11883000.00007,13473000.00033,13824999.998449,17961999.99824,20425999.998033,19266599.998886,24037580.002184,23819710.000632,23120410.002171
Botswana,1000000,1000000,1000000,1500000,1999999.999972,1999999.999972,2499999.999965,999999.999986,999999.999986,1100000.000145,1049999.999865,1149999.999834,1200000.000054,1160999.999802,1500000.000168,999999.999978,999999.999978,999999.999978,499999.999848,600000.00006,600000.00006,599999.999872,500000.000164,400000.0000094,138999.999996,215999.9999976,300000.000011,300000.000011,300000.0000145,299999.9999856,300000.0000109,300000.000124,400000.00014,500000.000148,2132000.000006,3189999.999934,3500000.00098,3748000.00113,4099999.99933,4099999.99968,4099999.99995,5291374.99962,6482749.9996,7674124.99962,8865500.000595,10056875.00048,11248250.00032,12439624.99891,13630999.99866,19939000.00122,8460000.0015,15152000.00083,21983000.00022,21155999.99852,21155999.999208
