Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22500000.6886381,30999999.499048,32599998.9983866,36099997.9002095,36300001.1028767,36000003.8023586,45300000.2029972,49999999.6018218,71899999.0216662,70899999.4887292,68799999.0288381,72499998.8166302,70799999.4671897,72999998.5136369,74999998.5070076,74999996.9841745,75000002.4870861,66100000.4993985,69299998.5282739,79899994.5117465,73499998.2131096,22300000.3974741,14799999.6018871,15219999.939016,12679999.5633493,9999999.94041892,5500000.19006731,4199999.72971967,18000000.1200492,5799999.88015476,12099999.7207627,10699999.2772337,22625999.9411444,37155002.4383776,35784998.1015433,36866000.3984633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Algeria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43000000.0022539,67999999.9872006,80999999.982185,75999999.9767044,65999999.9799405,39999999.9983406,51000000.0011953,52138000.0027352,57615999.9984261,60269000.0029268,84000000.0051597,57699999.9978672,48738000.0025387,59299999.9986542,87723999.9985661,98172999.9947172,112679999.967104,80000000.0081431,52600000.0027852,46299999.9986658,63000000.0028615,41000000.0024717,46700000.0029967,73800000.0019408,58200000.0015252,18399999.9976064,13999999.9980661,36000000.0032994,43999999.9969461,47000000.0025456,44300000.0015184,45299999.9994678,48000000.002968,17076000.0014806,104717000.036247,4085999.99997431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Angola,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5499999.78093872,11199999.5601974,11199999.699632,9100000.13814369,6500000.30683087,2100000.06195819,1000000.04213125,13099999.5796845,10000000.0587337,9400000.35912554,9199999.72030475,4600000.15117778,2800000.06206757,3799999.89744988,3715000.12921918,12794000.1703376,5000000.16610839,3999999.88468622,5221000.01966113,9175999.64025593,2499999.80105629,2299999.95392551,3100000.12893412,2000000.03110357,2000000.02086235,2000000.02509856,1999999.96714006,1999999.98010157,2300000.2099043,2300000.12905554,1400000.05993151,NaN,NaN,1786999.98603097,7186999.82179558,3681999.83214831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Australia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,119734289.983422,119734420.020881,160517069.981921,165822659.98813,171652559.996856,160045300.007829,203760930.014165,215473219.980174,205089460.002205,235970289.981852,232416499.98061,237985649.998972,252058979.990087,298372189.981337,337459840.017492,333008609.977297,325079780.010476,354366049.990292,383483330.023417,430159970.00095,428558940.007127,451168030.009262,476927809.998814,551153149.821847,568564420.112589,655656769.842499,807845949.951606,823974399.918366,961387900.143249,1063114899.97339,933974460.008876,1027668800.1667,951763070.242918,912643459.992294,1035884899.99825,931563069.776381,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Austria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88217922.5982094,97749748.7151804,93648842.7137666,91925878.1389842,86849837.0365359,82992001.7737263,101910646.733988,92401799.7882408,106302662.141629,105026190.006261,109629620.113827,110288269.826891,104493294.167868,110109262.412689,112703626.087247,117655058.049998,95546441.2996044,92889956.0945451,102573474.686676,89393511.0534831,99079734.4483288,93191281.8391941,87556157.6745291,82366121.4892527,84591970.1186355,88418893.4354514,90602382.5065293,90303382.6466895,89217416.0422691,85987767.9484125,79079133.0450864,83833338.4564208,80449309.4653224,207368086.29271,67537839.1565527,71757767.1578986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bangladesh,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97699995.9967191,78099998.0037406,129290999.977506,126952999.022209,82811003.99513,146618000.047454,167750003.003339,225191005.958231,227785010.053031,260215006.036202,267907990.045913,251627997.003482,304879000.022156,344928021.9709,384651012.036253,367785011.953454,422955996.002501,474614000.010685,528608015.984294,629795012.044089,609162987.978521,705599990.047857,713300030.033087,733562009.980202,803540003.968173,943000031.962752,996070027.903965,876599976.129777,882499986.409263,1014700029.69285,995851956.042042,1054244998.35498,1049899974.10747,951340006.013225,954039003.986572,993326989.792403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Benin,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2000000.00061419,2200000.09040835,2058000.11059117,1300000.03001352,1340999.97998168,791000.007994062,999999.976060884,700000.010011472,1600000.07031204,899999.993026395,381999.997057321,526999.98703723,1099999.9680521,3000000.16028537,3566000.14061031,3800000.07019055,4308999.94985957,3431999.88048958,2120999.97963883,1100000.0239894,5116000.24038863,5009999.96028924,6197000.37998414,7866999.86977345,7741000.18957319,14000000.0995137,14452999.9008337,18763999.3973063,15338000.4009186,34600000.9999045,14300000.2997009,15099999.9000546,25540999.996345,1317999.99005643,145000.006999314,412999.989058206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bhutan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73999.9977014719,99999.9986942293,100000.000091169,99999.9993913738,100000.003800287,99999.9972913482,100000.002792185,100000.004401853,99999.9987924216,121000.00190558,117999.996307079,100000.001092103,100000.002907821,99999.9994062171,100000.003004763,100000.001796242,100000.001102408,100000.004198748,99999.998598145,99999.9960950687,99999.9972972464,99999.9979920534,100000.000394453,100000.000702817,NaN,NaN,NaN,NaN,NaN,786999.986928236,818000.024916709,887000.021087748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bolivia (Plurinational State of),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,589000.012201768,2799999.85470152,3666999.90282546,2768999.86135847,3800000.07720888,1600000.03300848,1299999.99294537,1899999.95505281,1522999.98092024,1614000.04095411,1447999.88306861,2716999.93346926,1299999.92809404,3126000.00475925,2533000.20658415,2699999.86039714,2799999.97892465,4705999.94916952,3058000.16507337,4645000.17027821,2325999.76752986,3550999.97083458,5502999.81077146,2554999.86779261,4313999.9510992,2810000.02597088,4029000.05930834,4872000.38007762,1332000.00594954,900999.954047883,3217999.89288068,5368999.77000764,6194999.67082005,6198000.07011454,6260000.1105558,12191999.7904761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Botswana,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1100000.02696185,1049999.97096057,1150000.02389093,1200000.00972439,1161000.06515547,1499999.98769419,1000000.02273171,999999.954387213,1000000.02537844,499999.983524647,600000.020871028,599999.978761688,600000.026746145,500000.001342377,399999.994538023,138999.9953998,216000.006658216,300000.000105201,299999.989316251,299999.994728971,300000.005627718,300000.017863166,299999.98453503,400000.005711326,500000.010952254,2131999.98150666,3190000.02537599,3500000.00293813,3747999.9979762,4100000.21095228,4099999.80518309,4100000.21897941,4099999.95959636,13630999.9422363,13630999.5391282,13630999.7885172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Brazil,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,278594996.005467,278280997.987209,411641987.982653,347591008.016135,389182974.003627,406233975.994727,498271992.0642,700480008.086473,702243000.159036,778652980.118939,905459940.010446,667840007.975225,642300009.979638,568048969.873233,812880018.051396,834099945.975278,980899989.965081,957899970.100152,814952002.033225,802499991.874008,796600027.953314,830800038.264356,841300012.058169,1085499919.8097,1220799960.23602,1140099952.2768,1250900024.0002,1438099950.20612,1545500029.82345,1660767059.74259,1667999999.99625,1639999920.21388,1815999930.3128,2407557880.28665,2281345939.69718,2072213930.04566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bulgaria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,359515870.007058,303571970.007487,335858240.008738,309650429.99207,307795199.995849,357404799.992327,327047070.01263,339248959.994359,350757700.000817,395386499.872733,419973790.012109,489084700.101307,506748099.923618,516228159.985332,451825820.109128,462146079.995516,449350209.956928,440437500.005733,514264100.080895,468603040.060554,428158980.020508,355418300.014944,178320639.994129,155277919.994912,196470909.991436,106026910.006712,141502020.005764,149082499.994361,127266220.012379,104188310.015974,136969679.99983,163024290.008268,144872670.004185,299042559.891743,229603840.014121,180710800.003587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Burkina Faso,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,371999.998008115,440999.998926592,584000.0160961,355999.994996826,700000.017971052,400000.011079436,2200000.05003061,1755000.08012485,3353999.84892097,1959999.85001824,1247999.96995754,3075000.01014641,3309999.79004563,4070000.18169071,4218999.95883173,4736000.00045354,6780000.1899007,8256000.19088075,7958000.15073792,8159000.28883964,9213999.7607945,9838999.83930042,9305999.80848731,8999999.75153638,11516999.7884621,11391000.0900666,11462999.2091298,24351998.9009066,16400000.0013659,16899999.1009775,9860000.17932843,925999.994164321,926000.012086567,26619999.2993123,29081001.3020691,35434999.0987872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Burundi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,422000.018550582,456999.995547563,576000.015963123,228000.00438827,600999.977529139,329000.0075509,467000.018176196,441999.978972433,411000.007804765,500000.015477199,899999.944919678,300000.015912192,499999.986818983,1246999.95101282,639000.004159702,1617000.08290908,1100000.0179488,1000000.00305453,999999.952994762,2000000.02154057,1000000.02293159,1000000.02907819,1799000.08604564,1366000.0640569,1000000.00195568,1000000.0016432,1000000.00746639,1000000.011938,1390999.97701621,1822000.07809178,1500000.0330429,1500000.12690761,852000.001385498,282000.009689183,429000.000703529,1098000.03695437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
