Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,3186970.8,1999866.96,1999884.12,1999992,2000238.24,2999947.5,6999819.6,19000320.96,16000062.91,22500044.4,31000289.42,32600152.52,36100257.6,36299949.4,35999733.8,45300140.6,50000139,71899847.5,70900262.4,68800189.43,72500126.4,70800004.8,72999960.8,74999701.2,74999594.46,75000248.12,66100233.6,69300443.52,79899859.53,73499903.75,22300127.85,14800035.51,15220312.25,12679974.12,10000009.68,5499782.1,4199812.75,17999748.24,5800106.25,12100105.92,10699981.87,37986619.5,37154570.97,35784621.84,36866325.06,30014414.88,30978393.68,28153012.16,33500484.86,33742370.48,36708587.2,34765298.75,30548334.96,NaN,NaN
Algeria,8999202.15,14998873.12,18000957,16001133.96,13346178.95,17149077.18,14529940.56,19998613,29001715.5,42998901.21,67999195.95,80998733.52,76001375.61,66000816.96,39998358.36,50998103.76,52138263.8,57617025.6,60269727.98,83998630.08,57698188.17,48737901.66,59301202.74,87722658.45,98172940.45,112681312.96,80000260.4,52601246.1,46299671.6,62999670.78,41000532.52,46698800.61,73798614.2,58200656.25,18398020.5,13998238.97,35999496.54,44001280,47001293.19,44300167.52,45299879.04,28035299.6,17077680.55,104716056.81,4086929.4,43846921.3,36627262.16,23101434.38,47801474.42,70910738.55,63279886.46,75012385.74,44689973.62,NaN,NaN
Angola,500608.68,500259,500269.2,1000795.8,2799053.6,3599900.4,4999556,4999049.71,5001052.16,5499219.44,11199974.84,11199318.65,9100768.89,6500663.73,2099678.4,1000428,13099603.2,9999644.6,9400406.4,9199210.5,4600469.7,2799786,3799330.6,3714239.2,12793228.8,5000171,3999978,5220824.7,9176076,2500630.34,2299435.02,3100881.84,2000309.9,1999567.24,1999425.12,1999557.04,1999910.72,2300233,2299855.14,1400612.22,NaN,2756600.33,1785671.91,7188495.84,3683363.99,6639932.82,5582970,8171942.24,10467600,17366840,16382170,26201147.75,28530509.64,NaN,NaN
Australia,35021691.6,43708236.09,69986167.11,63685544.31,69581247.68,84728595.83,128703458.24,138846931.3,123775950.22,121657737.16,122246378.1,163553635.68,168986778.24,173861393.16,161850874.52,206098785.75,216377272.39,204863627.2,234832097.19,230948943.2,237178349.32,249219823.2,294333002.22,331279521.6,326733856.04,319203993.23,347854016.9,375713923.4,420483879.63,419621015.45,440116788.88,463784656.34,535429116.42,551117386.52,632366176,775116633.53,786526437.48,915354706.97,1008419613.36,884430564.93,974313329.94,906584354.72,861077487.06,971697195.04,874205250.48,785069332.19,776640803.04,764028790,777559195.42,898347536.34,1005500867.4,1029005438.51,1118218641.93,NaN,NaN
Austria,52300772,63982170,67640463,72425240,89648640,87609618,96120190,109414008,116390400,120789936,133106623,129320570,124968688,118270828,113793307,133669452,124833202,142295790,145201440,146124855,147004896,135604026,138867116,144506290,147254000,121478770,116115185,124641988,109338159,118059725,115631528.88,109244567.64,106441020.84,107931526.5,112249154.5,120098182.24,116352241.2,116992642.26,112239409.84,108442273.08,110040106.8,156611487.9,273143953.86,87731248,92699978.28,88469802.3,75194831,76539681.42,72496388.79,78398592.39,78417946.6,78259778.8,78259709.4,NaN,NaN
Bangladesh,19997760,24003408,35999520,34003040,42898639,56300050,70895525,76097979,90396075,97701780,78098765,129295288,126948669,82810980,146617764,167754300,225186789,227784942,260218739,267904980,251626563,304878780,344932304,384653060,367784978,422956800,474617715,528604157,629794512,609158928,705603960,713297943,733563396,803537742,943003198,996073599,876596415,882498932,1013688222,993863200,1050030643,1073669239,945635160,948312222,987365717,1087899120,1038022146,1274128291,1144574772,1155146162,1262075776,1118480040,1100620404,NaN,NaN
Benin,21654.16,23460,72389.72,131889.8,100226.18,99884.4,688337.04,1228949.28,1596863.17,1999928,2199654.99,2057769.24,1299612.26,1341057.21,791199.84,1000140.24,700019.11,1600330.32,900265.2,381910.9,526873.23,1100287.65,2999682,3566427.84,3800064.84,4308792.45,3431612.96,2121409.2,1099518.35,5116638.24,5009524.66,6196494.62,7866918.28,7741438.11,14000163.28,14453146.23,18764091.45,15338668.2,34600326.2,14299458.04,15101080.28,23559217.65,1317265.11,144220.19,413356.7,11945.64,575423.65,357834.39,5793200,12078262.98,4128760.81,8932467.05,4480000,NaN,NaN
Bhutan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73944.2,100053.07,99997.92,99980.78,100046.4,100010.9,100005,100041.48,99933.75,121025.44,118080,99996.44,99928.38,100035.66,100041.92,99962.88,99937.2,100045.68,99966.8,99949.8,100049.89,99943.28,99955.29,99950.37,NaN,NaN,NaN,NaN,783066.52,787063.68,817939.2,886970.44,768002.34,799948.34,773984.56,1607990,686032.04,844950.4,776013.28,990058.56,NaN,NaN
Bolivia (Plurinational State of),349871.73,399728.61,450016.9,499862.13,499664.69,499851,1999714.86,999849.39,1228612.88,589042.95,2800007.64,3667347.6,2769256.35,3799681.39,1599953.88,1300277.16,1900491.6,1522906.92,1614389.93,1448371.8,2716660.57,1300094.72,3125847.34,2533199.2,2699735.02,2800119,4705544,3058083.33,4644847.87,2326500.84,3551214.96,5503250.97,2554483.86,4314672.6,2810557.42,4029248.65,4872516.84,1332642.62,901388.79,3217986.3,5369367.69,6039778.98,6197286.83,6259249.92,12193280.16,8710360.92,11883055.5,13473592.2,13824594.56,17962061.04,20425866.86,19102600.86,23877547.76,NaN,NaN
Botswana,999971.06,999928.44,999978,1499965.61,2000045.25,1999959.5,2500023,999989.76,999919,1100078.46,1049954.24,1149982,1199947.14,1161064.28,1500022.3,999925.44,999954.45,1000018.73,500019.52,599886.34,599880.96,599953.6,499989.1,399982.5,138961.02,215942.76,299964.15,300077.21,299994.87,300015,299932.57,299950.38,399937.84,499913.07,2131995.52,3190083.12,3500142.72,3748188.08,4100067.02,4100073.84,4099916.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13630772.71,19939182.66,8460172.8,15152445.12,21983331.96,NaN,NaN
