Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,3200000.001658,2000000.00071944,1999999.99909117,2000000.00189723,2000000.00039789,2999999.99983127,6999999.99840212,19000000.000358,16000000.0016234,27000000.0009871,30699999.9989646,31999999.9980395,36099999.9999701,36299999.9961316,36000000.0029648,45299999.9992754,49999999.9988198,71900000.0083447,70899999.9863652,67700000.0046972,72499999.9953838,70800000.0052869,73000000.0036601,74999999.9733611,74999999.9733611,74999999.9733611,66099999.9935233,69300000.0219007,79900000.0124859,73500000.0193711,22300000.0000217,14799999.9985642,15200000.0009248,12400000.0034244,10000000.0002053,5500000.00042883,4199999.99768544,17999999.999106,5799999.99806078,6499999.9984758,9300000.00013589,22699999.9991173,13800000.0007236,28499999.9989403,5499999.99851698,17600000.0006658,16899999.9970158,11000000.0008788,13700000.0011174,11299999.9974357,12000000.0005929,14000000.0006917,11999999.9981277,14899999.9973627,NaN
Algeria,8999999.9832604,14999999.9862484,17999999.9914489,16000000.0265373,13299999.983176,17200000.0080021,14500000.0259302,13299999.9985072,29999999.99877,43200000.0106351,93600000.013274,80499999.9841894,93499999.983325,65099999.9900735,62800000.0159952,69999999.9949617,66399999.9940793,61400000.0036055,60299999.9739384,83999999.9916135,57700000.0128644,48699999.987383,59300000.022399,87700000.014618,98200000.002602,112700000.015423,97400000.0107945,52600000.0011751,46299999.9851435,62999999.9774065,41000000.0283279,46700000.0187864,73800000.0244366,58199999.9983864,18400000.0079852,14000000.0152983,35999999.9691326,43999999.9920599,47000000.0313056,44299999.9903538,44299999.9975195,47999999.9690824,47999999.9912596,40000000.0105488,39500000.0356324,42200000.0235787,33000000.0403993,17000000.0385741,37099999.9702423,60100000.0116682,56299999.9761289,70600000.0380198,59300000.0358409,62299999.9734655,NaN
Angola,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Australia,34999999.994319,43712399.8981801,69989400.0346967,63679999.8827544,69579999.9940388,84716799.8507051,128699999.873443,138855599.847267,123769799.825997,121672400.07093,122212799.918625,163601200.178877,172655999.878166,173870399.946496,163158999.991628,202812800.148255,172398000.048513,209194999.875876,237895000.160573,240312000.190702,241999999.833199,249228000.112925,294324999.847225,331272000.1843,326740000.184107,319200000.001599,347849800.170177,375718199.786754,420486499.89933,419626999.994663,440109600.079816,463790000.138114,535433799.825584,551123999.91142,632364599.996254,775123999.727142,786517799.748754,915365000.119207,1008423999.96482,884429999.880147,959551999.966848,906592500.061785,861066700.143654,971703999.932454,874211400.208311,785070000.053691,776652000.101311,764024999.722944,776834999.962128,898530000.110159,1005584999.94264,1005584999.74228,1203042000.07223,1287770999.95751,NaN
Austria,52300000.010831,63644400.0071824,67090699.9930847,72050999.9854341,88674600.0095014,88313399.9873143,97397299.9838706,112113299.964405,119246800.027135,120191999.989002,133126999.977962,128765399.97583,124966599.991058,118315199.980756,113751799.969221,133605599.99432,132054400.042143,140632799.976704,144191099.976725,146125499.970091,146964999.962281,135628199.977765,138934200.020804,144506699.947949,147269199.929865,121478400.038827,116114500.020551,124642200.023273,109337399.981368,118928999.984017,115631999.982814,109243999.975281,106440000.031032,107932000.044601,112249999.956255,120098999.959809,116351999.961877,116991999.970353,112239999.9734,108442000.032524,110040000.011382,95264000.01938,91400000.0071163,90387000.01071,94835100.016469,94731000.0085215,96459999.9625204,79169999.9842156,83264999.9745586,98280000.0258924,95550000.00826,96460000.0063441,99190000.0334427,104558999.987564,NaN
Bangladesh,20000000.023406,23999999.9634051,36000000.0163142,34000000.0065939,42900000.0319598,56300000.0221699,70899999.9572487,76100000.0117071,106999999.994284,99199999.9727321,79300000.0051067,128800000.041644,127000000.022539,82799999.9612954,146699999.999718,165799999.99072,224399999.981157,227200000.043898,259000000.018801,266199999.980133,249700000.017612,304899999.981595,344899999.997375,384600000.027558,367799999.958001,422999999.992383,474600000.030112,528600000.032644,630199999.985892,609200000.046598,706399999.949945,713299999.998558,733599999.989418,804299999.998968,942999999.629096,996099999.684494,876600000.022443,882499999.790725,1013685300.36966,993808399.8557,1057851600.3006,1044650500.31379,1082565400.12944,1166459000.16113,1152046000.35569,1160378999.92192,1274130000.06507,1161764999.96908,1137509999.63792,1225025999.72837,1111076999.84725,1101078000.02952,1121670000.16845,1308186000.38152,NaN
Benin,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bhutan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bolivia (Plurinational State of),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Botswana,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Brazil,54999999.937803,50899999.9091058,65200000.1249347,50799999.956819,70600000.1123471,71100000.0512428,106399999.910512,144300000.10511,164399999.875689,276399999.906925,278299999.853365,411600000.185455,347600000.013135,389200000.034616,406300000.152457,498200000.116109,700499999.940802,705999999.750843,779399999.780776,885999999.927857,667599999.954537,642299999.924178,564799999.744925,811200000.156327,834100000.021638,980899999.704558,957900000.026711,815000000.030367,802499999.790409,796599999.852747,829500000.085813,835099999.959173,1070799999.93331,1224499999.81368,1150499999.93312,1248399999.90825,1438099999.78763,1545500000.13765,1656159200.06755,1959743699.57935,1681074000.07843,1786557600.04103,2328141599.57563,2336588800.12309,2154801000.40681,2127114599.99306,2541923999.80882,2311848000.11694,2359896000.25299,2638020000.19968,3110183999.78655,3173939999.6729,3417414000.18889,3577727999.71075,NaN
