Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,3187216.664658,2001620.08619,1998487.153682,1997715.559489,1999649.3904,3001829.827317,7001072.880698,19000850.162308,15997537.45698,22497316.630558,31002640.291221,32600913.85044,36099423.309906,36299557.41456,36000965.259774,45302308.53026,50000515.263496,71901319.42494,70901814.181806,68803089.280164,72501985.54284,70801718.80875,73000082.795965,75002788.705218,74997248.13947,74998238.58761,66101520.13394,69298593.823368,79895039.421203,73501526.611665,22299668.018346,14796829.179,15220276.71516,12679956.992802,10000926.69012,5498313.130674,4200679.289052,18002262.39526,5799091.678085,12102114.71217,10703342.043942,22624415.541717,37157943.15692,35786042.351123,36867252.494709,30015875.429208,30974827.660302,28151618.644284,33502974.451368,30820590.588168,NaN,NaN,NaN,NaN,NaN
Algeria,8978643.16218,15020759.3536,18023471.96375,15989001.04312,13362412.6548,17142081.86985,14530486.26757,20009311.989,29031923.0842,43011494.6105,68017523.92944,81032653.17884,76003192.7267,66032771.9346,39999900.72771,50994466.47168,52121280.697,57639760.68192,60259029.14785,84009975.05235,57694805.20822,48769232.0352,59280963.8511,87724337.88595,98193012.39792,112655303.63192,80029976.5011,52587131.90445,46267795.86504,63026285.4767,41029867.41165,46689553.16289,73802322.11208,58165550.5431,18410643.88086,14020429.84359,36029850.58277,43971995.17972,47014051.38702,44265202.83382,45280896.80349,48022436.41624,17058716.93128,104695096.3397,4086436.23366,43861533.89982,36631610.72952,23135754.14496,20966777.19387,45548515.97289,NaN,NaN,NaN,NaN,NaN
Angola,485162.99865,488484.05505,491805.4173,990252.9627,2791306.73304,3612737.12976,4983559.65476,5016324.27512,5014978.42797,5493905.9328,11196899.1468,11195093.82204,9085906.90665,6493823.06916,2106698.08132,1001383.1254,13084938.04371,10010606.6512,9387732.30784,9213685.88094,4588845.73483,2794307.95548,3794196.3785,3724678.35756,12793118.10252,4999290.18865,3998857.69108,5204661.22765,9167161.11752,2515440.51817,2308359.17467,3092316.2496,1987369.58762,2016085.29126,2010534.43202,2004984.6041,1999433.38909,2298037.8014,2291641.01896,1411473.59262,7372740.9272,7192161.40933,1802303.10572,7187593.35708,3688108.83055,6657631.83855,5566216.78305,8185612.91625,3019581.65355,4693084.73865,NaN,NaN,NaN,NaN,NaN
Australia,35032233.4892,44008567.6992,70234720.576,64123234.11,70116783.5898,85604666.4,130069254.6237,140379516.7599,125446123.3145,123115112.1536,124394325.968,166748735.2695,172409154.4385,177551979.7128,165922056.443,211345236.3676,222077343.5244,210462127.2492,242110181.7398,238220858.7376,245105364.3368,258270138.87,304742698.848,343960666.63,340136822.8445,332415185.0448,363245283.83,392635177.7506,440561122.5774,439080023.4992,462474507.264,488209249.307,565454760.99,582973326.042,671301516.6024,824722026.7973,839505181.3621,978816657.5128,1082000530.968,950808797.664,1049677679.0682,972477110.8448,932872987.046,1056288474.621,952016340.7344,857826176.1573,849120680.2244,835057956.0251,849790333.7577,1240867997.2049,NaN,NaN,NaN,NaN,NaN
Austria,52303066.73236,64239028.50267,68253159.95932,73381668.73436,91297878.966,89573770.664,98794134.22278,112919646.90028,120739020.02028,125819284.1844,139379388.32388,135975811.46877,132101146.9076,125557655.47227,121441003.01436,143262463.38621,134516735.56368,153994155.32325,157993679.2566,159694183.67781,161538769.99575,149679769.02896,154124290.05807,161100756.3373,165082495.692,136806403.4787,131502921.50082,141803933.6558,125106574.28418,135703090.16715,131993284.64886,123997771.296,120001144.43808,121000676.24199,125006532.37128,133002626.86606,128004163.74,128004613.00598,122005519.88772,118005849.41054,119998789.67954,117994801.09935,298820581.03626,96088576.84146,101757133.31572,97215162.93886,82634983.35142,84115346.41298,79660291.53904,86154337.04494,NaN,NaN,NaN,NaN,NaN
Bangladesh,19952807.8096,24042445.3911,35921295.747,34073885.475,42954269.9256,56288309.745,70840312.9453,76120339.5376,90475779.735,97650611.2256,78068475.6416,129300492.7071,126938357.7222,82771212.5765,146606685.9327,167686471.6941,225236634.687,227782024.4304,260165035.0054,267919157.2222,251642158.3709,304876093.7049,344957436.4725,384571540.626,367859295.934,422957386,474605405.5402,528556576.0272,629839562.9246,609242845.7016,705586718.0137,713287828.68,733520074.6191,803609086.176,942958926.2841,996102303.8224,876604557.3345,882488298.679,1014625962.5008,995896760.6124,1054176023.3088,1049888857.3524,951303352.0458,954005521.35,993401194.2282,1098853490.8868,1048441692.684,1168440328.8968,1404726303.2952,914989601.1226,NaN,NaN,NaN,NaN,NaN
Benin,20134.1348,20534.20879,62802.9948,128006.47056,108672.53505,110673.02745,698576.29241,1238480.47872,1586774.0738,1993740.94836,2196294.4276,2065694.26728,1302501.33364,1351743.17778,778832.676,1003868.31208,698725.9747,1612503.31494,889185.90528,395409.76188,516600.88758,1099255.72056,3003017.39816,3555369.65025,3790201.58336,4296767.67072,3427568.23998,2120589.9533,1098786.39984,5104433.35764,5018324.71248,6204994.74816,7875988.45488,7734652.82889,13990446.2544,14468808.70656,18768417.34989,15336784.3592,34611273.7589,14289518.74452,15089571.6744,25557465.56194,1303981.01372,142996.72404,390083.14104,NaN,598262.71164,348986.58179,5284653.95282,NaN,NaN,NaN,NaN,NaN,NaN
Bhutan,244212.362405,252665.604637,278282.714471,321409.904915,370280.012662,395387.874281,415534.569303,455326.025448,497375.31704,484509.935882,590194.39976,557811.385786,625590.834066,74086.95036,99098.261295,100030.878869,99058.951784,99974.257188,100889.419436,99846.801267,100744.926006,99703.9632,120766.72956,117825.58741,100458.72004,99305.989392,100203.436176,98994.74452,99873.624498,100752.503818,99468.887244,100131.19803,100667.725268,101078.48707,98950.644596,99047.9294,99019.678446,908006.115629,865963.09995,872725.43904,878858.37963,870374.859816,786980.483575,817126.096704,885906.454764,769055.272125,798748.525875,774993.922875,1606405.027875,685914.161625,NaN,NaN,NaN,NaN,NaN
Bolivia (Plurinational State of),343052.61192,392824.19475,444125.2854,496958.06358,505377.80931,498227.66528,1993921.79868,996956.14174,1225132.47,597248.77572,2796331.39676,3664881.35262,2775532.94202,3800586.51668,1591052.9028,1305402.2723,1900924.957,1530219.83744,1617902.41122,1446561.58104,2720088.92519,1300533.31863,3125253.8325,2523195.2292,2694717.63824,2804696.93275,4709125.43476,3051037.3208,4638778.86556,2328514.83795,3556504.65579,5510973.00642,2558641.0857,4303992.74952,2798093.30256,4019001.102,4871404.47376,1342485.64492,912906.33991,3215370.2867,5369617.1568,6203446.55671,6193281.1161,6246098.28765,12177890.96862,8696986.94694,11889139.4593,13485215.71548,13810945.56368,19576363.87682,NaN,NaN,NaN,NaN,NaN
Botswana,1001036.995344,1001325.39702,1001563.533378,1500283.428193,1999085.654322,1999265.699703,2500393.516972,1002077.274572,1002042.732912,1098769.694283,1050471.567288,1147920.9594,1202035.12051,1162950.90216,1499623.985634,999121.915599,998453.1138,997737.355644,498491.279352,601753.892957,599232.638836,598553.174115,499881.327071,399707.320705,141171.366078,215912.701901,302313.159993,299113.070032,301219.285304,297907.421515,299973.321945,299815.823505,397727.882461,500980.25828,2133485.573688,3187660.02475,3501308.575352,3749426.21208,4100462.252405,4098291.2718,4101539.181768,4101563.354868,2251527.99888,2311219.414236,2360059.363005,2360073.24429,2327520.509886,2338371.421354,2441455.0803,2457731.447502,NaN,NaN,NaN,NaN,NaN
Brazil,55040245.2015,50430878.2728,62130603.8334,50917687.3566,70574150.0928,71184685.5972,106390311.489,144270897.1158,164537012.7687,278525740.9693,278430765.069,411687394.5536,347473380.084,389250657.3273,406311214.3644,498468686.6412,700529573.6362,702386525.3152,778843863.8706,905348040.182,667886272.9606,642102753.0456,568137648.6126,812809223.6094,834109897.5964,980875770.7312,957774134.5991,815130223.5666,802332001.4832,796587972.2068,830739776.945,841523462.3313,1085376724.1728,1220905794.0967,1140265327.6545,1251156153.9372,1438282017.096,1545610911.2874,1660886190.0735,1667852963.568,1639971755.2424,1815829005.752,2407666073.1525,2281424583.8202,2072519796.1144,2192453493.609,2948334273.1962,2483893442.0766,2452620205.5972,2854514563.758,NaN,NaN,NaN,NaN,NaN
Bulgaria,73216086.69136,65051503.98939,89138049.30252,158986545.23188,219089066.26464,281733908.35788,323230507.43247,390036843.52696,386882832.75716,378803308.7584,321759956.62398,353642426.53606,328073200.8816,329528124.97396,379986797.55072,348419121.22137,362566280.7328,376328777.84186,420545071.57552,449983508.09211,518010310.82225,535603851.80016,550252164.04802,479387915.63388,499006135.91712,477990786.1864,469403001.47397,547987542.57027,494990074.90432,452899127.78427,377250686.8512,189161960.55464,166132759.27752,207698065.79988,111982190.1754,152003129.715,157804578.66592,134984180.28096,110588618.82376,144905019.8141,172288972.04386,152125564.1334,315622404.09105,240600668.28512,189955358.81752,146882701.51464,200122793.41236,213546855.75132,370074029.23764,287965686.77604,NaN,NaN,NaN,NaN,NaN
Burkina Faso,5971682.63974,6737384.07264,7732530.4832,8834206.01408,9390590.31724,10151951.96743,11448848.25663,11942596.58469,305258.95116,382810.4976,435252.89312,575588.91214,347400.36292,709360.64212,389803.0794,2187035.98806,1766747.30355,3365624.50002,1955397.39395,1256363.87781,3089096.40402,3296314.14279,4067583.6312,4233994.95582,4747638.62196,6794224.83557,8244748.65825,7949517.5844,8159929.11349,9216814.7352,9840058.51036,9309706.65378,9001772.26248,11506479.14797,11379204.90534,11454345.81328,24335129.8425,16401163.16615,16884741.90865,9865260.6753,945414.17565,933479.4636,26628857.84866,29089815.77988,35422795.1679,30002830.92253,23554620.36902,30589031.88194,28404101.03323,41140649.15132,NaN,NaN,NaN,NaN,NaN
Burundi,273669.603636,342030.94936,361149.3159,426114.795844,410256.94644,95817.7386,98395.293,100972.6929,227810.47608,424511.0832,456562.10628,579324.58356,230806.2876,596748.19554,333330.468,469188.08454,438019.45044,406489.85496,499466.48576,901519.34038,298265.68772,495432.58486,1249735.16628,639185.39905,1622336.2065,1101813.23466,1000565.1223,1004809.23945,1994363.24304,1001376.32868,1005570.51588,1800023.3985,1371332.72388,1000840.22302,1003253.73271,1005667.49887,995935.45424,1387908.1335,1818352.96433,1504632.74073,1495947.14448,849944.76,284607.01791,435063.54675,1098817.19464,1492584.99019,802734.78464,990875.74979,890533.90171,1216644.90797,NaN,NaN,NaN,NaN,NaN
Cameroon,1511487.481,1523913.03064,1975291.79436,2489083.2666,3010863.64572,6294450.90176,8553278.28908,10732536.41984,8859887.27316,11537119.99862,8996560.71776,7295261.48208,9331458.5861,9775167.3696,6074692.48694,4024223.904,14603406.90965,15389600.1728,14225226.31978,16079907.86292,16565083.50126,16898182.1975,24493032.44691,26015226.17806,26932929.74574,20721028.6503,24585757.74375,22050127.53196,18176938.13252,8982608.05353,6010335.9263,9365757.36512,10205366.69448,15029757.85535,15031062.7699,17968923.21155,18879495.012,16503513.82588,26016270.01212,21891941.03619,25601113.53624,13169883.68264,19363265.79036,33163172.98784,22798302.6708,25368955.9452,22268305.77412,22902529.67275,23677692.21552,11627438.14155,NaN,NaN,NaN,NaN,NaN
Canada,98172727.068,122346638.6328,150048476.7334,170704324.3149,218053082.6247,276487953.8697,320828426.4822,242274642.0445,269995920.0304,291675832.4376,350135544.667,409878635.3472,512831769.2928,531278997.6368,563048508.0753,599085387.2405,755145065.7688,834276233.0332,831264883.956,937611936.1616,966052324.7544,1069631977.7957,1254664304.7659,1338460574.949,1225065835.8018,1144459096.9616,1182854459.5779,1160319297.3804,1197204648.2546,1157652668.3865,1253349379.5783,1317868592.4144,1405839559.3094,1456164270.1949,1576021094.9289,1670691207.756,1652503941.0292,1625766431.9632,1682203313.983,1564593163.89,1540998657.5017,1629517216.2792,1649894620.4496,1539301396.1084,1776863192.562,1371783266.2763,2067803552.8383,1909381024.9268,1914575206.1698,1984177234.826,NaN,NaN,NaN,NaN,NaN
Central African Republic,149517.43552,169252.59159,170297.82,209419.61953,593783.55668,809358.80802,1008103.50108,1209170.96624,1177134.5658,1164368.79665,1409436.34949,1000305.748,927407.47982,1808118.9448,593655.2184,1196293.674,1205278.16052,1193327.96139,105452.4618,1402196.42442,1198416.22936,708859.72839,280291.65385,1103701.27242,2497971.79505,632251.27084,765872.5466,527097.43248,683322.67793,796426.21692,799316.41536,890171.2304,1003739.3343,89425.62252,89629.93352,89834.03572,90038.24828,203045.50908,203504.87745,203964.38415,204423.89022,204624.79956,1342748.30987,1412405.7839,1413790.2098,1415174.24634,1437999.63741,1392348.85527,1529301.20169,1460825.02848,NaN,NaN,NaN,NaN,NaN
Chad,118533.50704,88909.61217,118558.781,29642.8653,385398.06409,385439.00122,652351.25318,800698.07799,889759.719,1127148.62002,1245928.34688,1136813.8235,2202216.01637,4501937.38876,2790938.89074,3092084.436,3366579.31236,3613665.7943,5036223.91257,510808.90464,1608836.253,1712244.94043,2497593.96194,2996075.50336,3204190.18556,2593221.31849,2010275.85041,2183618.65458,2026108.82985,2000681.4792,3414392.38428,4216458.3825,2141302.5774,1986276.68492,3553846.56204,7508295.26352,3466766.53818,10688343.35271,11015007.9377,10987386.05077,10994259.98525,10985371.46364,6073339.08194,6120332.57763,6322058.0118,6182671.0399,6182671.0399,6395866.593,6481144.81424,6694340.36734,NaN,NaN,NaN,NaN,NaN
