Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,3187216.664658,2001620.08619,1998487.153682,1997715.559489,1999649.3904,3001829.827317,7001072.880698,19000850.162308,15997537.45698,22497316.630558,31002640.291221,32600913.85044,36099423.309906,36299557.41456,36000965.259774,45302308.53026,50000515.263496,71901319.42494,70901814.181806,68803089.280164,72501985.54284,70801718.80875,73000082.795965,75002788.705218,74997248.13947,74998238.58761,66101520.13394,69298593.823368,79895039.421203,73501526.611665,22299668.018346,14796829.179,15220276.71516,12679956.992802,10000926.69012,5498313.130674,4200679.289052,18002262.39526,5799091.678085,12102114.71217,10703342.043942,22624415.541717,37157943.15692,35786042.351123,36867252.494709,30015875.429208,30974827.660302,28151618.644284,33502974.451368,30820590.588168,NaN,NaN,NaN,NaN,NaN
Algeria,8978643.16218,15020759.3536,18023471.96375,15989001.04312,13362412.6548,17142081.86985,14530486.26757,20009311.989,29031923.0842,43011494.6105,68017523.92944,81032653.17884,76003192.7267,66032771.9346,39999900.72771,50994466.47168,52121280.697,57639760.68192,60259029.14785,84009975.05235,57694805.20822,48769232.0352,59280963.8511,87724337.88595,98193012.39792,112655303.63192,80029976.5011,52587131.90445,46267795.86504,63026285.4767,41029867.41165,46689553.16289,73802322.11208,58165550.5431,18410643.88086,14020429.84359,36029850.58277,43971995.17972,47014051.38702,44265202.83382,45280896.80349,48022436.41624,17058716.93128,104695096.3397,4086436.23366,43861533.89982,36631610.72952,23135754.14496,20966777.19387,45548515.97289,NaN,NaN,NaN,NaN,NaN
Angola,485162.99865,488484.05505,491805.4173,990252.9627,2791306.73304,3612737.12976,4983559.65476,5016324.27512,5014978.42797,5493905.9328,11196899.1468,11195093.82204,9085906.90665,6493823.06916,2106698.08132,1001383.1254,13084938.04371,10010606.6512,9387732.30784,9213685.88094,4588845.73483,2794307.95548,3794196.3785,3724678.35756,12793118.10252,4999290.18865,3998857.69108,5204661.22765,9167161.11752,2515440.51817,2308359.17467,3092316.2496,1987369.58762,2016085.29126,2010534.43202,2004984.6041,1999433.38909,2298037.8014,2291641.01896,1411473.59262,7372740.9272,7192161.40933,1802303.10572,7187593.35708,3688108.83055,6657631.83855,5566216.78305,8185612.91625,3019581.65355,4693084.73865,NaN,NaN,NaN,NaN,NaN
Australia,25079445.8782,31482315.2488,50209217.824,45810996.4158,50063071.432,61087281.376,92768600.2642,100072977.9323,89386018.0135,87686844.9632,88561483.67,118664415.8752,122640593.9437,126246018.514,117927948.9102,150150834.7268,157711856.652,149403569.1676,171802334.9944,168976698.5018,173793241.1028,183146886.7175,216124077.9509,243962079.8752,241273774.612,235819375.5456,257715214.9,278592886.0318,312627373.0514,311604613.9618,328236364.1216,347281502.8835,403137175.1105,416567733.2808,480771982.1616,591992695.5243,603979217.8179,705817662.8828,782012802.816,688775202.148,762150781.1736,706099659.9776,677346274.176,766959408.8475,691251064.8822,622862580.7068,616541570.9104,606330708.9316,617027802.4332,900987011.7484,NaN,NaN,NaN,NaN,NaN
Austria,52303066.73236,64239028.50267,68253159.95932,73381668.73436,91297878.966,89573770.664,98794134.22278,112919646.90028,120739020.02028,125819284.1844,139379388.32388,135975811.46877,132101146.9076,125557655.47227,121441003.01436,143262463.38621,134516735.56368,153994155.32325,157993679.2566,159694183.67781,161538769.99575,149679769.02896,154124290.05807,161100756.3373,165082495.692,136806403.4787,131502921.50082,141803933.6558,125106574.28418,135703090.16715,131993284.64886,123997771.296,120001144.43808,121000676.24199,125006532.37128,133002626.86606,128004163.74,128004613.00598,122005519.88772,118005849.41054,119998789.67954,117994801.09935,298820581.03626,96088576.84146,101757133.31572,97215162.93886,82634983.35142,84115346.41298,79660291.53904,86154337.04494,NaN,NaN,NaN,NaN,NaN
Bangladesh,10231613.81536,12327994.3926,18417878.59398,17469610.7418,22021252.85976,28855468.5102,36313220.34526,39017508.75328,46373066.762,50047599.36368,40009112.65768,66262567.01922,65049781.03256,42414777.60069,75123637.45313,85922284.41332,115406912.40622,116707097.58912,133294371.22274,137262445.8502,128918867.66209,156196207.11312,176736635.16345,197038959.24285,188482272.6798,216720067.375,243191763.83514,270845281.04256,322755205.5762,312210289.3932,361593452.14714,365565485.166,375961294.88043,411914710.3254,483378316.39812,510658848.52104,449431791.68574,452483574.664,520276582.39843,510713986.18194,540645244.17432,538447133.58813,487887013.12455,489273414.9045,509478565.22022,563561772.82504,537707404.9752,599250317.40304,720432753.21456,469264707.26228,NaN,NaN,NaN,NaN,NaN
Benin,14446.03408,14689.85305,44801.0895,91065.09318,77106.71815,78325.8896,493179.66123,872254.20402,1114974.28692,1397803.26,1536475.22574,1440963.99384,906064.98008,937798.45915,538929.1119,692903.16858,481111.2267,1107681.45505,609416.16512,270399.34852,352516.12812,749036.78606,2043391.26751,2415885.62732,2571936.34304,2911752.792,2319644.45076,1433252.0573,741681.82944,3441104.32226,3378801.0978,4166303.95584,5274879.7023,5168068.15317,9327642.1238,9627013.53216,12464187.62238,10167196.7534,22906746.6004,9442482.05864,9956532.7898,16855402.70512,859592.14264,94222.85751,256924.12648,NaN,393881.06028,229763.95183,3479282.69914,NaN,NaN,NaN,NaN,NaN,NaN
Bhutan,244212.362405,252665.604637,278282.714471,321409.904915,370280.012662,395387.874281,415534.569303,455326.025448,497375.31704,484509.935882,590194.39976,557811.385786,625590.834066,74086.95036,99098.261295,100030.878869,99058.951784,99974.257188,100889.419436,99846.801267,100744.926006,99703.9632,120766.72956,117825.58741,100458.72004,99305.989392,100203.436176,98994.74452,99873.624498,100752.503818,99468.887244,98958.86019,98375.153448,97717.903082,94678.236808,93837.6486,92923.628499,844362.153153,798228.914925,797697.57088,796796.456715,788778.939256,712915.59735,739932.928506,801908.27231,695875.480762,722743.259942,701249.036598,1453546.853638,620645.699058,NaN,NaN,NaN,NaN,NaN
Bolivia (Plurinational State of),342957.37752,392715.78921,444003.4272,496822.47087,505240.66791,498093.272,1993386.71322,996689.93606,1224806.928,597090.82608,2795595.77108,3663941.19405,2774838.79272,3799658.85768,1590673.99779,1305098.6382,1900493.246,1529880.17694,1617551.53568,1446254.76168,2719524.89214,1300266.88407,3124621.224,2522690.55,2694185.00913,2804149.06586,4708216.27448,3050455.0986,4637903.84856,2328080.6346,3555849.01293,5510005.45866,2558213.00576,4303305.69724,2797666.64856,4018414.686,4870724.15456,1342306.03677,912789.14751,3214974.22724,5368982.06228,6202712.79475,6192549.0861,6245360.5383,12176453.5958,8695961.13561,11887737.13295,13483625.13162,13809316.55992,19574054.84083,NaN,NaN,NaN,NaN,NaN
Botswana,1001036.995344,1001325.39702,1001563.533378,1500283.428193,1999085.654322,1999265.699703,2500393.516972,1002077.274572,1002042.732912,1098769.694283,1050471.567288,1147920.9594,1202035.12051,1162950.90216,1499623.985634,999121.915599,998453.1138,997737.355644,498491.279352,601753.892957,599232.638836,598553.174115,499881.327071,399707.320705,141171.366078,215912.701901,302313.159993,299113.070032,301219.285304,297907.421515,299973.321945,299815.823505,397727.882461,500980.25828,2133485.573688,3187660.02475,3501308.575352,3749426.21208,4100462.252405,4098291.2718,4101539.181768,4101563.354868,2251527.99888,2311219.414236,2360059.363005,2360073.24429,2327520.509886,2338371.421354,2441455.0803,2457731.447502,NaN,NaN,NaN,NaN,NaN
Brazil,54173144.5125,49646956.8852,61176756.6418,50144998.0458,69514710.112,70126868.2842,104824318.4307,142166259.9571,162156899.5332,274528681.2856,274465036.9557,405871140.6728,342602232.6396,383834070.9929,400697067.0712,491627599.0692,690977438.8902,692868353.6824,768352297.7724,893221925.8756,658989719.4629,633553892.79,560577228.7698,801998029.4226,823020609.508,967841285.0114,945052417.6548,804308031.8312,791684411.0112,786021182.1866,819724644.885,830382618.1896,1071029217.19,1204790491.2146,1125236048.3892,1234688365.2208,1419377172.528,1525322454.6226,1639112984.2464,1646016270.5088,1618526850.9382,1792084470.32,2376182349.5105,2251591588.246,2045418467.2288,2163783778.348,2909780249.4264,2451412699.4152,2420548408.7984,2817187377.576,NaN,NaN,NaN,NaN,NaN
Bulgaria,73216086.69136,65051503.98939,89138049.30252,158986545.23188,219089066.26464,281733908.35788,323230507.43247,390036843.52696,386882832.75716,378803308.7584,321759956.62398,353642426.53606,328073200.8816,329528124.97396,379986797.55072,348419121.22137,362566280.7328,376328777.84186,420545071.57552,449983508.09211,518010310.82225,535603851.80016,550252164.04802,479387915.63388,499006135.91712,477990786.1864,469403001.47397,547987542.57027,494990074.90432,452899127.78427,377250686.8512,189161960.55464,166132759.27752,207698065.79988,111982190.1754,152003129.715,157804578.66592,134984180.28096,110588618.82376,144905019.8141,172288972.04386,152125564.1334,315622404.09105,240600668.28512,189955358.81752,146882701.51464,200122793.41236,213546855.75132,370074029.23764,287965686.77604,NaN,NaN,NaN,NaN,NaN
Burkina Faso,5495877.74959,6202750.48949,7121411.9088,8138838.44115,8654404.08338,9359279.24997,10558495.15749,11017557.79395,281708.802,353394.777,401940.27996,531714.51168,321023.38671,655704.0646,360425.1322,2022784.11874,1634507.81122,3114532.4628,1809973.92485,1163212.10659,2860732.03779,3053938.22504,3770031.40964,3925791.1287,4403671.47054,6304202.63355,7652686.19814,7381031.70528,7578732.26733,8562866.8176,9144480.43547,8653939.95726,8369877.20572,10701469.08066,10585702.03148,10658151.70544,22648854.0234,15268117.28831,15721751.11815,9187727.84412,880668.34065,869523.3832,24803686.87866,27095222.62206,32993125.23164,27944242.85031,21938464.19154,28490222.72838,26455206.81921,38317860.53364,NaN,NaN,NaN,NaN,NaN
Burundi,273669.603636,342030.94936,361149.3159,426114.795844,410256.94644,95817.7386,98395.293,100972.6929,227810.47608,424511.0832,456562.10628,579324.58356,230806.2876,596748.19554,333330.468,469188.08454,438019.45044,406489.85496,499466.48576,901519.34038,298265.68772,495432.58486,1249735.16628,639185.39905,1622336.2065,1101813.23466,1000565.1223,1004809.23945,1994363.24304,1001376.32868,1005570.51588,1800023.3985,1371332.72388,1000840.22302,1003253.73271,1005667.49887,995935.45424,1387908.1335,1818352.96433,1504632.74073,1495947.14448,849944.76,284607.01791,435063.54675,1098817.19464,1492584.99019,802734.78464,990875.74979,890533.90171,1216644.90797,NaN,NaN,NaN,NaN,NaN
Cameroon,1511487.481,1523913.03064,1975291.79436,2489083.2666,3010863.64572,6294450.90176,8553278.28908,10732536.41984,8859887.27316,11537119.99862,8996560.71776,7295261.48208,9331458.5861,9775167.3696,6074692.48694,4024223.904,14603406.90965,15389600.1728,14225226.31978,16079907.86292,16565083.50126,16898182.1975,24493032.44691,26015226.17806,26932929.74574,20721028.6503,24585757.74375,22050127.53196,18176938.13252,8982608.05353,6010335.9263,9365757.36512,10205366.69448,15029757.85535,15031062.7699,17968923.21155,18879495.012,16503513.82588,26016270.01212,21891941.03619,25601113.53624,13169883.68264,19363265.79036,33163172.98784,22798302.6708,25368955.9452,22268305.77412,22902529.67275,23677692.21552,11627438.14155,NaN,NaN,NaN,NaN,NaN
Canada,98172727.068,122346638.6328,150048476.7334,170704324.3149,218053082.6247,276487953.8697,320828426.4822,242274642.0445,269995920.0304,291675832.4376,350135544.667,409878635.3472,512831769.2928,531278997.6368,563048508.0753,599085387.2405,755145065.7688,834276233.0332,831264883.956,937611936.1616,966052324.7544,1069631977.7957,1254664304.7659,1338460574.949,1225065835.8018,1144459096.9616,1182854459.5779,1160319297.3804,1197204648.2546,1157652668.3865,1253349379.5783,1317868592.4144,1405839559.3094,1456164270.1949,1576021094.9289,1670691207.756,1652503941.0292,1625766431.9632,1682203313.983,1564593163.89,1540998657.5017,1629517216.2792,1649894620.4496,1539301396.1084,1776863192.562,1371783266.2763,2067803552.8383,1909381024.9268,1914575206.1698,1984177234.826,NaN,NaN,NaN,NaN,NaN
Central African Republic,149362.02936,169077.04146,170121.57921,209203.33632,593171.55778,808526.42472,1007068.7822,1207932.50508,1175931.267,1163181.02576,1408001.33157,999266.474,926424.80436,1806166.59897,593002.41564,1194954.60074,1203905.797,1191946.54302,105328.39965,1400520.92202,1196962.44864,707978.01822,279934.49783,1102261.61382,2494638.32225,631388.75951,764805.15755,526347.31368,682330.36762,795246.67476,798109.58052,888504.2176,1001497.09905,89193.7042,89365.40668,89536.90036,89708.5044,202230.21618,202616.21529,203002.35282,203388.48972,203547.49362,1335411.43803,1404407.16824,1405502.9116,1406598.2656,1429285.3344,1383911.1968,1520033.6096,1451972.4032,NaN,NaN,NaN,NaN,NaN
Chad,118533.50704,88909.61217,118558.781,29642.8653,385398.06409,385439.00122,652351.25318,800698.07799,889759.719,1127148.62002,1245928.34688,1136813.8235,2202216.01637,4501937.38876,2790938.89074,3092084.436,3366579.31236,3613665.7943,5036223.91257,510808.90464,1608836.253,1712244.94043,2497593.96194,2996075.50336,3204190.18556,2593221.31849,2010275.85041,2183618.65458,2026108.82985,2000681.4792,3414392.38428,4216458.3825,2141302.5774,1986276.68492,3553846.56204,7508295.26352,3466766.53818,10688343.35271,11015007.9377,10987386.05077,10994259.98525,10985371.46364,6073339.08194,6120332.57763,6322058.0118,6182671.0399,6182671.0399,6395866.593,6481144.81424,6694340.36734,NaN,NaN,NaN,NaN,NaN
