Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,3187000,2000000,2000000,2000000,2000000,3000000,7000000,19000000,16000000,22500000,31000000,32600000,36100000,36300000,36000000,45300000,50000000,71900000,70900000,68800000,72500000,70800000,73000000,75000000,75000000,75000000,66100000,69300000,79900000,73500000,22300000,14800000,15220000,12680000,10000000,5500000,4200000,18000000,5800000,12100000,10700000,37986000,37155000,35785000,36866000,30014000,30978000,28153000,33501000,30818000,36339000,NaN,NaN,NaN,NaN
Algeria,9000000,15000000,18000000,16000000,13347000,17150000,14530000,20000000,29000000,43000000,68000000,81000000,76000000,66000000,40000000,51000000,52138000,57616000,60269000,84000000,57700000,48738000,59300000,87724000,98173000,112680000,80000000,52600000,46300000,63000000,41000000,46700000,73800000,58200000,18400000,14000000,36000000,44000000,47000000,44300000,45300000,28036000,17076000,104717000,4086000,43847000,36626000,23102000,21006000,45520000,63282000,NaN,NaN,NaN,NaN
Angola,500000,500000,500000,1000000,2800000,3600000,5000000,5000000,5000000,5500000,11200000,11200000,9100000,6500000,2100000,1000000,13100000,10000000,9400000,9200000,4600000,2800000,3800000,3715000,12794000,5000000,4000000,5221000,9176000,2500000,2300000,3100000,2000000,2000000,2000000,2000000,2000000,2300000,2300000,1400000,NaN,2757000,1787000,7187000,3682000,6641000,5584000,8172000,3024000,4701000,11988000,NaN,NaN,NaN,NaN
Australia,35017000,43712400,69989400,63680000,69580000,84728704,128697030,138841754,123782631,121653666,122251176,163557992,168986079,173864526,161843958,206099968,216377996,204864177,234823727,230957274,237180328,249228000,294325000,331272000,326740000,319200000,347849800,375718200,420486500,419627000,440109600,463790000,535433800,551124000,632364600,775124000,786517800,915365000,1008424000,884430000,974307200,906592500,861066700,971704000,874211400,785070000,776652000,764025000,777567000,898347000,1005493500,NaN,NaN,NaN,NaN
Austria,52300000,63982044,67639714,72426060,89648744,87610218,96119751,109414635,116390468,120789120,133106945,129319833,124969438,118270926,113793028,133669977,124833632,142296000,145202000,146125500,147005040,135603738,138867526,144506700,147254036,121478400,116114500,124642200,109337400,118059000,115632000,109244000,106440000,107932000,112250000,120099000,116352000,116992000,112240000,108442000,110040000,156612184,273143416,87731083,92699716,88470200,75195120,76540100,72496970,78399230,78417430,NaN,NaN,NaN,NaN
Bangladesh,20000000,24000000,36000000,34000000,42900000,56300000,70900000,76100000,90400000,97700000,78100000,129291000,126953000,82811000,146618000,167750000,225191000,227785000,260215000,267908000,251628000,304879000,344928000,384651000,367785000,422956000,474614000,528608000,629795000,609163000,705600000,713300000,733562000,803540000,943000000,996070000,876600000,882500000,1013685300,993860296,1050028020,1073668680,945631960,948314766,987367038,1087903080,1038021930,1274130000,1156735800,1119927600,1352142000,NaN,NaN,NaN,NaN
Benin,22000,23000,72000,132000,100000,99999.9999999999,688000,1229000,1597000,2000000,2200000,2058000,1300000,1341000,791000,1000000,700000,1600000,900000,382000,527000,1100000,3000000,3566000,3800000,4309000,3432000,2121000,1100000,5116000,5010000,6197000,7867000,7741000,14000000,14453000,18764000,15338000,34600000,14300000,15100000,23558000,1318000,145000,413000,11000,576000,357000,5308000,1099000,4448000,NaN,NaN,NaN,NaN
Bhutan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74000,100000,100000,100000,100000,100000,100000,100000,100000,121000,118000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,NaN,NaN,NaN,NaN,783000,787000,818000,887000,768000,800000,774000,1608000,686000,845000,NaN,NaN,NaN,NaN
Bolivia (Plurinational State of),350000,400000,450000,500000,500000,500000,2000000,1000000,1229000,589000,2800000,3667000,2769000,3800000,1600000,1300000,1900000,1523000,1614000,1448000,2717000,1300000,3126000,2533000,2700000,2800000,4706000,3058000,4645000,2326000,3551000,5503000,2555000,4314000,2810000,4029000,4872000,1332000,901000,3218000,5369000,6040000,6198000,6260000,12192000,8709000,11883000,13473000,13810000,19565000,20624000,NaN,NaN,NaN,NaN
Botswana,1000000,1000000,1000000,1500000,2000000,2000000,2500000,1000000,1000000,1100000,1050000,1150000,1200000,1161000,1500000,1000000,1000000,1000000,500000,600000,600000,600000,500000,400000,139000,216000,300000,300000,300000,300000,300000,300000,400000,500000,2132000,3190000,3500000,3748000,4100000,4100000,4100000,4100000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
