"","year","Cropland Fraction","source","ISO3_code","Country"
"1",1961,"0.89857103433065","Rasmus","AUT","Austria"
"2",1962,"0.897400985300261","Rasmus","AUT","Austria"
"3",1963,"0.898409676423478","Rasmus","AUT","Austria"
"4",1964,"0.899112203341173","Rasmus","AUT","Austria"
"5",1965,"0.894936958091442","Rasmus","AUT","Austria"
"6",1966,"0.898983665434789","Rasmus","AUT","Austria"
"7",1967,"0.898728634961883","Rasmus","AUT","Austria"
"8",1968,"0.900462476964531","Rasmus","AUT","Austria"
"9",1969,"0.901747567220021","Rasmus","AUT","Austria"
"10",1970,"0.902446513720338","Rasmus","AUT","Austria"
"11",1971,"0.902582251331389","Rasmus","AUT","Austria"
"12",1972,"0.902504743963936","Rasmus","AUT","Austria"
"13",1973,"0.90107611301528","Rasmus","AUT","Austria"
"14",1974,"0.901838351701196","Rasmus","AUT","Austria"
"15",1975,"0.901366773518087","Rasmus","AUT","Austria"
"16",1976,"0.902941848254144","Rasmus","AUT","Austria"
"17",1977,"0.902535808777252","Rasmus","AUT","Austria"
"18",1978,"0.905539636820434","Rasmus","AUT","Austria"
"19",1979,"0.906057474316983","Rasmus","AUT","Austria"
"20",1980,"0.908030173290658","Rasmus","AUT","Austria"
"21",1981,"0.905854766434331","Rasmus","AUT","Austria"
"22",1982,"0.90815106779051","Rasmus","AUT","Austria"
"23",1983,"0.901634116723412","Rasmus","AUT","Austria"
"24",1984,"0.901907772272111","Rasmus","AUT","Austria"
"25",1985,"0.90200586641474","Rasmus","AUT","Austria"
"26",1986,"0.901228906546706","Rasmus","AUT","Austria"
"27",1987,"0.901158348960101","Rasmus","AUT","Austria"
"28",1988,"0.901020791560343","Rasmus","AUT","Austria"
"29",1989,"0.900291496539965","Rasmus","AUT","Austria"
"30",1990,"0.898246418896546","Rasmus","AUT","Austria"
"31",1991,"0.900594463834607","Rasmus","AUT","Austria"
"32",1992,"0.898730328055735","Rasmus","AUT","Austria"
"33",1993,"0.898124738846626","Rasmus","AUT","Austria"
"34",1994,"0.898021553508652","Rasmus","AUT","Austria"
"35",1995,"0.894853193206856","Rasmus","AUT","Austria"
"36",1996,"0.895126560188116","Rasmus","AUT","Austria"
"37",1997,"0.897278547696748","Rasmus","AUT","Austria"
"38",1998,"0.897725098053157","Rasmus","AUT","Austria"
"39",1999,"0.895750469373291","Rasmus","AUT","Austria"
"40",2000,"0.895972717448883","Rasmus","AUT","Austria"
"41",2001,"0.896359550153156","Rasmus","AUT","Austria"
"42",2002,"0.897843375359663","Rasmus","AUT","Austria"
"43",2003,"0.897820704629385","Rasmus","AUT","Austria"
"44",2004,"0.899038166050556","Rasmus","AUT","Austria"
"45",2005,"0.899806947994563","Rasmus","AUT","Austria"
"46",2006,"0.900424702236059","Rasmus","AUT","Austria"
"47",2007,"0.902558233852632","Rasmus","AUT","Austria"
"48",2008,"0.90432130321229","Rasmus","AUT","Austria"
"49",2009,"0.904969291857773","Rasmus","AUT","Austria"
"50",2010,"0.903515093713016","Rasmus","AUT","Austria"
"51",2011,"0.904194032496434","Rasmus","AUT","Austria"
"52",2012,"0.904955222615663","Rasmus","AUT","Austria"
"53",2013,"0.9060112767684","Rasmus","AUT","Austria"
"54",2014,"0.906378292815059","Rasmus","AUT","Austria"
"55",2015,"0.904287377709735","Rasmus","AUT","Austria"
"56",2016,"0.90652565229827","Rasmus","AUT","Austria"
"57",2017,"0.906128770068737","Rasmus","AUT","Austria"
"58",2018,"0.905585566993644","Rasmus","AUT","Austria"
