"","year","Australia","Austria","Brazil","Canada","Switzerland","Chile","Germany","Finland","France","United Kingdom of Great Britain and Northern Ireland","Ireland","Japan","Luxembourg","Morocco","Netherlands","New Zealand","Poland","Slovenia","Uruguay","United States of America","South Africa"
"781",1961,0.999986433348068,0.89857103433065,0.999999999999999,1,1,1,0.913363989268658,0.999994,0.938958914138368,0.766444694538211,0.368353049877109,1,0.453752079169721,1,0.443820224719101,0.08,0.854308144561118,0.649344219725129,1,0.730351,1
"782",1962,0.99838495778215,0.897400985300261,0.999999999999999,1,0.99,0.995,0.912550604702973,0.99299,0.939445096389574,0.77060160697005,0.362254230423429,0.997,0.453752079169721,1,0.422037073514189,0.08,0.852743932884367,0.649344219725129,0.999,0.721332,1
"783",1963,0.996782587692236,0.898409676423478,0.999999999999999,1,0.979,0.99,0.911933027183883,0.985998,0.93896618947788,0.761391263098863,0.359353353658169,0.994,0.453752079169721,1,0.406350583473668,0.08,0.851880096802427,0.649344219725129,0.998,0.73115,0.999
"784",1964,0.995179562281312,0.899112203341173,0.999999999999999,1,0.969,0.985,0.911229567000511,0.978003,0.937204608077368,0.754312776934776,0.350107787855746,0.991,0.453752079169721,1,0.393958725783446,0.08,0.853371998791616,0.649344219725129,0.998,0.725439,0.999
"785",1965,0.993576120752364,0.894936958091442,0.999999999999999,1,0.959,0.98,0.90904551102827,0.970999,0.935699896887854,0.746705550247462,0.341242822798155,0.988,0.453752079169721,1,0.381593424373827,0.08,0.849864153024541,0.649344219725129,0.997,0.725451,0.999
"786",1966,0.991972502308378,0.898983665434789,0.999999999999999,1,0.948,0.975,0.862330847707415,0.963996,0.931193620205852,0.735603433664696,0.326518659551844,0.986,0.453752079169721,1,0.363783504562934,0.08,0.848682980002286,0.649344219725129,0.996,0.725438,0.999
"787",1967,0.990368946152337,0.898728634961883,0.999999999999999,1,0.938,0.97,0.821242019204805,0.956999,0.926361697679762,0.743027563558635,0.323650330582013,0.98299,0.453752079169721,1,0.345131210646583,0.08,0.848298543915032,0.649344219725129,0.995,0.735324,0.998
"788",1968,0.988766196776588,0.900462476964531,0.999999999999999,1,0.928,0.965,0.784727103324233,0.949005,0.921957779587832,0.753715260466183,0.314474420902678,0.979991,0.453752079169721,1,0.33438653073496,0.08,0.848544882935354,0.649344219725129,0.994,0.733616,0.998
"789",1969,0.987164366370873,0.901747567220021,0.999999999999999,1,0.917,0.96,0.750696493579907,0.942,0.918770858232145,0.757124844867835,0.310155113346989,0.976929,0.453752079169721,1,0.319644393359058,0.08,0.849461923559099,0.649344219725129,0.993,0.732628,0.998
"790",1970,0.985562745684281,0.902446513720338,0.999999999999999,1,0.907,0.955,0.722902711653895,0.935001,0.916924115272095,0.734401246473992,0.310356906563386,0.973805,0.453752079169721,1,0.30462690558973,0.08,0.848971375060928,0.649344219725129,0.993,0.734916,0.997
"791",1971,0.983960625465899,0.902582251331389,0.999999999999999,1,0.897,0.95,0.697100363040169,0.928001,0.906659337455443,0.708096904512096,0.310627255786183,0.970848,0.453752079169721,1,0.282675474777985,0.08,0.848766850819394,0.649344219725129,0.992,0.748335,0.997
"792",1972,0.982357296464813,0.902504743963936,1,1,0.886,0.945,0.705045089309677,0.920002,0.89963180641972,0.738007688364514,0.303654774841342,0.967867,0.453752079169721,1,0.273956084978854,0.08,0.847418328546289,0.649344219725129,0.991,0.73436,0.997
"793",1973,0.98075204943011,0.90107611301528,1,1,0.876,0.94,0.712909713447961,0.912995,0.893606685647077,0.625992590911696,0.296177260206359,0.964865,0.453752079169721,1,0.265978248171062,0.08,0.847358397879382,0.649344219725129,0.99,0.750594,0.996
"794",1974,0.979144175110877,0.901838351701196,1,1,0.866,0.935,0.722751939251847,0.905999,0.888953414334566,0.744682589006476,0.295840977898712,0.962853,0.453752079169721,1,0.259895430996143,0.08,0.848258241183537,0.649344219725129,0.989,0.759793,0.996
"795",1975,0.977544572778594,0.901366773518087,1,1,0.855,0.93,0.730948182798829,0.899001,0.879741479644692,0.640302900478746,0.315577810948288,0.959842,0.453752079169721,0.999797,0.253000002471313,0.08,0.849923522171708,0.649344219725129,0.988,0.766573,0.996
"796",1976,0.975959786012556,0.902941848254144,1,1,0.845,0.925,0.739746595255186,0.891,0.869753107004365,0.66192289403187,0.323108002330685,0.956853,0.453752079169721,0.999849,0.250989050617548,0.08,0.849938020294094,0.649344219725129,0.988,0.770345,0.996
"797",1977,0.974382572023574,0.902535808777252,1,1,0.834,0.92,0.748329653690171,0.883999,0.862411359700844,0.676158958440499,0.333659990153787,0.953856,0.453752079169721,0.999883,0.248316563392212,0.08,0.850724302570628,0.649344219725129,0.987,0.771156,0.995
"798",1978,0.97280568802246,0.905539636820434,1,1,0.824,0.915,0.756403929550237,0.876999,0.854661742832337,0.678335682628891,0.338901049982472,0.950852,0.453752079169721,0.999899,0.245683405430468,0.08,0.850885779941289,0.649344219725129,0.986,0.768363,0.995
"799",1979,0.971221891220023,0.906057474316983,1,1,0.814,0.91,0.761283537818525,0.869996,0.847112190762022,0.653310341947617,0.346198669275797,0.94785,0.453752079169721,0.999886,0.243378244825109,0.08,0.851057195316627,0.649344219725129,0.985,0.77223,0.995
"800",1980,0.969623938827075,0.908030173290658,1,1,0.803,0.905,0.759617286338906,0.861998,0.83963770783818,0.740826163728505,0.358410863414494,0.94485,0.453752079169721,0.999571,0.24028066618191,0.08,0.851019374141874,0.649344219725129,0.984,0.775959,0.994
"801",1981,0.968004588054425,0.905854766434331,1,1,0.793,0.9,0.758384800311715,0.855002,0.83320739039075,0.719725722670981,0.358094845701107,0.941851,0.453752079169721,0.999731,0.24359372537012,0.08,0.850780401018987,0.649344219725129,0.983,0.786139,0.994
"802",1982,0.966413424239106,0.90815106779051,1,0.999996,0.783,0.895,0.755146924891555,0.847995,0.83555016127666,0.657115764108525,0.358342277362193,0.93985,0.453752079169721,0.999768,0.249339246046803,0.08,0.849689022510161,0.649344219725129,0.983,0.778579,0.994
"803",1983,0.964876804104243,0.901634116723412,1,0.999997,0.772,0.889226,0.753432542704003,0.840996,0.836458207755323,0.680855122923645,0.355456440358192,0.93685,0.453752079169721,0.999786,0.253531988027174,0.08,0.84921434909404,0.649344219725129,0.982,0.729822,0.994
"804",1984,0.96335264193979,0.901907772272111,1,0.999997,0.762,0.884334,0.752669318838684,0.833004,0.839161577541942,0.733461962287008,0.369444630627148,0.933851,0.453752079169721,0.999754,0.261865934294058,0.08,0.849467112333097,0.649344219725129,0.981,0.771161,0.993
"805",1985,0.961798852035699,0.90200586641474,1,0.995933,0.752,0.879513,0.750354676489307,0.826005,0.841573909658468,0.739228223318635,0.373020038276518,0.930868,0.453752079169721,0.999791,0.262294219072664,0.08,0.849397517684435,0.649344219725129,0.98,0.773637,0.993
